"1gram","Frequency","Total Tweets"
"的","289","118"
"国","107","60"
"在","106","73"
"一","87","60"
"人","85","50"
"中","76","51"
"是","71","53"
"有","68","53"
"疫","66","45"
"新","64","48"
"日","61","34"
"年","61","43"
"这","60","40"
"了","59","43"
"大","59","45"
"美","58","39"
"和","57","46"
"为","57","47"
"本","54","36"
"发","53","40"
"情","45","35"
"不","44","35"
"上","43","36"
"出","43","35"
"对","42","33"
"冠","40","34"
"能","39","31"
"业","39","25"
"来","37","27"
"公","36","27"
"成","35","31"
"多","34","27"
"到","34","28"
"可","34","25"
"现","33","28"
"全","32","27"
"生","30","24"
"过","30","27"
"者","30","21"
"于","29","26"
"数","29","19"
"用","28","19"
"他","27","18"
"家","27","23"
"最","27","21"
"要","27","25"
"将","27","22"
"机","27","19"
"体","26","19"
"们","26","21"
"高","26","23"
"增","26","20"
"病","25","14"
"但","25","25"
"等","25","20"
"以","25","24"
"元","25","14"
"开","25","21"
"费","25","18"
"量","25","18"
"加","25","20"
"表","24","18"
"经","24","20"
"苗","24","14"
"利","24","22"
"动","24","18"
"月","24","20"
"产","24","18"
"示","23","18"
"会","23","18"
"后","23","22"
"也","23","21"
"下","23","21"
"市","23","18"
"自","23","20"
"司","23","19"
"度","22","20"
"行","22","18"
"之","21","19"
"其","21","18"
"个","21","17"
"消","21","13"
"从","21","19"
"价","21","16"
"进","21","18"
"因","20","18"
"计","20","20"
"重","20","17"
"该","20","16"
"周","20","19"
"前","20","18"
"制","20","15"
"种","19","16"
"外","19","16"
"时","19","16"
"电","19","13"
"民","19","13"
"币","19","9"
"导","19","13"
"长","19","17"
"提","19","17"
"企","19","10"
"选","19","16"
"性","18","15"
"位","18","14"
"我","18","15"
"关","18","14"
"品","18","11"
"需","18","16"
"同","17","15"
"通","17","16"
"已","17","15"
"地","17","15"
"三","17","12"
"球","17","13"
"被","17","15"
"至","17","15"
"场","17","14"
"金","17","11"
"理","16","13"
"无","16","14"
"工","16","11"
"造","16","13"
"好","16","12"
"比","16","14"
"特","16","12"
"越","16","8"
"收","16","12"
"集","16","9"
"口","16","12"
"间","16","15"
"超","16","14"
"据","16","14"
"货","16","10"
"心","15","11"
"化","15","10"
"说","15","15"
"么","15","15"
"技","15","15"
"力","15","14"
"名","15","13"
"些","15","12"
"而","15","13"
"求","15","14"
"亿","15","11"
"运","15","8"
"部","14","12"
"系","14","10"
"器","14","12"
"意","14","13"
"续","14","14"
"万","14","11"
"约","14","10"
"面","14","11"
"认","14","12"
"与","14","14"
"更","14","11"
"研","14","10"
"热","14","11"
"很","14","13"
"今","14","14"
"称","14","12"
"此","14","13"
"额","14","10"
"半","14","8"
"影","13","10"
"什","13","13"
"定","13","11"
"类","13","11"
"感","13","9"
"持","13","13"
"受","13","13"
"如","13","13"
"升","13","9"
"第","13","11"
"次","13","8"
"方","12","11"
"车","12","9"
"首","12","11"
"入","12","12"
"状","12","7"
"让","12","10"
"资","12","10"
"还","12","12"
"德","12","10"
"富","12","8"
"都","12","10"
"得","12","12"
"就","12","12"
"显","12","12"
"作","12","9"
"明","12","10"
"果","12","12"
"创","12","10"
"点","12","9"
"界","12","10"
"布","12","10"
"少","12","12"
"未","11","10"
"子","11","7"
"学","11","10"
"存","11","11"
"合","11","9"
"术","11","10"
"息","11","8"
"格","11","8"
"分","11","10"
"毒","11","9"
"症","11","5"
"科","11","11"
"两","11","10"
"股","11","7"
"没","11","10"
"风","11","8"
"济","11","8"
"几","11","10"
"复","11","9"
"强","11","10"
"达","11","10"
"向","11","11"
"应","11","10"
"算","11","6"
"务","11","10"
"结","11","9"
"世","11","10"
"备","11","10"
"近","11","9"
"小","11","8"
"涨","11","7"
"二","11","6"
"响","10","7"
"统","10","7"
"主","10","10"
"款","10","8"
"里","10","8"
"接","10","8"
"然","10","10"
"着","10","9"
"值","10","7"
"施","10","9"
"供","10","8"
"并","10","9"
"实","10","9"
"验","10","7"
"交","10","7"
"视","10","8"
"设","10","10"
"获","10","8"
"华","10","8"
"手","10","9"
"立","10","9"
"店","10","5"
"润","10","8"
"试","10","6"
"阿","10","7"
"装","10","4"
"台","10","7"
"巴","10","3"
"疾","9","5"
"事","9","9"
"天","9","9"
"测","9","8"
"论","9","8"
"田","9","4"
"售","9","7"
"东","9","6"
"亚","9","4"
"免","9","8"
"染","9","6"
"使","9","9"
"较","9","9"
"纪","9","8"
"仍","9","8"
"推","9","8"
"才","9","8"
"普","9","9"
"带","9","7"
"政","9","8"
"付","9","9"
"精","9","9"
"销","9","6"
"总","9","8"
"率","9","8"
"字","9","5"
"由","9","8"
"你","9","7"
"柿","9","1"
"医","8","6"
"管","8","5"
"打","8","7"
"爱","8","6"
"究","8","7"
"划","8","8"
"代","8","6"
"投","8","6"
"助","8","8"
"海","8","7"
"苏","8","6"
"则","8","8"
"易","8","7"
"维","8","5"
"物","8","8"
"积","8","6"
"期","8","8"
"秒","8","6"
"信","8","8"
"及","8","8"
"指","8","7"
"快","8","8"
"法","8","7"
"问","8","7"
"起","8","7"
"拉","8","6"
"模","8","6"
"季","8","7"
"餐","8","6"
"基","8","8"
"京","8","4"
"空","8","7"
"相","8","8"
"或","8","7"
"内","8","7"
"始","7","7"
"许","7","7"
"式","7","6"
"官","7","5"
"丰","7","4"
"料","7","5"
"程","7","7"
"师","7","7"
"英","7","6"
"目","7","7"
"曾","7","7"
"触","7","4"
"轻","7","7"
"否","7","7"
"素","7","7"
"看","7","7"
"员","7","6"
"预","7","6"
"防","7","6"
"断","7","7"
"所","7","7"
"变","7","6"
"尔","7","5"
"肉","7","3"
"回","7","5"
"级","7","5"
"斯","7","6"
"采","7","7"
"库","7","4"
"正","7","7"
"商","7","5"
"吗","7","7"
"当","7","6"
"原","7","7"
"卡","7","5"
"议","7","5"
"道","7","7"
"克","7","6"
"片","7","6"
"安","7","6"
"瑞","7","6"
"肺","6","5"
"常","6","6"
"像","6","5"
"样","6","6"
"洲","6","5"
"它","6","6"
"航","6","4"
"保","6","6"
"低","6","6"
"购","6","6"
"买","6","5"
"汽","6","6"
"南","6","3"
"似","6","6"
"印","6","4"
"联","6","6"
"反","6","6"
"治","6","6"
"险","6","6"
"士","6","5"
"流","6","5"
"食","6","5"
"土","6","4"
"望","6","6"
"继","6","6"
"酒","6","4"
"倍","6","6"
"速","6","5"
"府","6","4"
"营","6","3"
"居","6","6"
"调","6","5"
"服","6","5"
"抗","6","5"
"放","6","6"
"题","6","5"
"构","6","5"
"往","6","5"
"优","6","4"
"那","6","6"
"智","6","4"
"网","6","5"
"根","6","5"
"己","6","6"
"飞","6","3"
"房","6","4"
"饮","6","4"
"极","6","6"
"规","6","6"
"箱","6","2"
"减","6","5"
"死","6","5"
"质","6","6"
"再","6","6"
"游","6","4"
"客","6","3"
"融","6","5"
"宣","6","5"
"街","6","3"
"平","6","6"
"传","6","4"
"失","6","5"
"炎","5","5"
"处","5","5"
"神","5","4"
"西","5","4"
"任","5","5"
"观","5","5"
"解","5","5"
"注","5","5"
"项","5","5"
"即","5","5"
"取","5","5"
"张","5","4"
"牛","5","4"
"领","5","5"
"先","5","3"
"专","5","5"
"星","5","3"
"象","5","5"
"患","5","4"
"严","5","5"
"展","5","5"
"朗","5","5"
"益","5","5"
"读","5","5"
"去","5","5"
"志","5","4"
"件","5","4"
"材","5","4"
"降","5","5"
"米","5","3"
"罩","5","4"
"盖","5","4"
"眼","5","3"
"何","5","5"
"致","5","5"
"措","5","5"
"帮","5","5"
"批","5","4"
"透","5","4"
"屏","5","1"
"幕","5","3"
"检","5","5"
"势","5","4"
"效","5","5"
"整","5","4"
"做","5","5"
"止","5","5"
"终","5","5"
"识","5","5"
"知","5","5"
"节","5","4"
"沫","5","4"
"马","5","4"
"争","5","5"
"订","5","4"
"又","5","5"
"录","5","4"
"份","5","4"
"鱼","5","1"
"区","5","4"
"改","5","4"
"每","5","4"
"封","5","3"
"康","5","5"
"吃","5","4"
"气","5","4"
"击","5","4"
"默","5","4"
"女","5","3"
"建","5","5"
"功","5","4"
"欧","5","5"
"命","5","5"
"移","5","5"
"辉","5","4"
"路","5","3"
"苦","5","3"
"疗","4","3"
"护","4","4"
"难","4","4"
"兴","4","4"
"池","4","3"
"义","4","4"
"疑","4","4"
"令","4","4"
"霹","4","1"
"雳","4","1"
"舞","4","1"
"告","4","4"
"步","4","4"
"细","4","4"
"念","4","3"
"票","4","3"
"军","4","3"
"冲","4","3"
"紧","4","3"
"味","4","4"
"歌","4","4"
"单","4","4"
"随","4","3"
"四","4","4"
"直","4","4"
"非","4","3"
"引","4","4"
"标","4","4"
"纳","4","3"
"源","4","4"
"剂","4","3"
"双","4","4"
"光","4","4"
"评","4","4"
"债","4","2"
"支","4","4"
"巨","4","4"
"侠","4","2"
"板","4","4"
"离","4","4"
"准","4","4"
"完","4","3"
"走","4","4"
"虽","4","4"
"隐","4","4"
"头","4","3"
"织","4","3"
"冷","4","2"
"衣","4","2"
"门","4","4"
"言","4","3"
"破","4","4"
"欢","4","4"
"迎","4","3"
"律","4","2"
"策","4","3"
"岳","4","2"
"戴","4","3"
"劲","4","3"
"待","4","4"
"乐","4","4"
"输","4","2"
"短","4","4"
"亡","4","4"
"且","4","4"
"氧","4","1"
"碳","4","1"
"吸","4","4"
"白","4","4"
"背","4","4"
"菱","4","2"
"沉","4","3"
"团","4","3"
"座","4","4"
"必","4","4"
"健","4","4"
"绝","4","3"
"奇","4","2"
"膜","4","2"
"黄","4","1"
"喜","4","4"
"段","4","3"
"盟","4","3"
"独","4","4"
"驾","4","2"
"临","4","4"
"呈","4","3"
"城","4","3"
"举","4","4"
"假","4","4"
"角","4","3"
"驶","4","1"
"镜","4","1"
"键","4","4"
"监","4","2"
"签","4","2"
"丘","4","1"
"深","3","3"
"尽","3","3"
"澳","3","2"
"文","3","3"
"秘","3","2"
"圆","3","3"
"够","3","3"
"释","3","3"
"谈","3","3"
"掩","3","2"
"环","3","3"
"席","3","3"
"微","3","3"
"映","3","2"
"边","3","3"
"具","3","3"
"猛","3","3"
"储","3","3"
"芯","3","3"
"压","3","3"
"恶","3","3"
"跌","3","2"
"疲","3","2"
"案","3","3"
"贸","3","3"
"缘","3","2"
"纤","3","1"
"候","3","3"
"纸","3","2"
"延","3","3"
"况","3","3"
"花","3","3"
"缓","3","3"
"顶","3","3"
"转","3","3"
"型","3","3"
"初","3","3"
"另","3","3"
"红","3","2"
"略","3","3"
"拟","3","1"
"佩","3","2"
"杯","3","2"
"波","3","3"
"顾","3","3"
"停","3","3"
"卫","3","2"
"条","3","2"
"广","3","3"
"跃","3","3"
"态","3","3"
"幅","3","3"
"把","3","3"
"财","3","3"
"宝","3","3"
"便","3","3"
"各","3","3"
"麒","3","1"
"麟","3","1"
