"6gram","Frequency","Total Tweets"
"美国总统特朗","382","381"
"国总统特朗普","382","381"
"知情人士透露","308","307"
"国家主席习近","228","227"
"家主席习近平","228","227"
"中国国家主席","225","224"
"国国家主席习","217","216"
"俄罗斯总统普","188","188"
"罗斯总统普京","166","166"
"总统小马可斯","140","138"
"据知情人士透","126","125"
"國家主席習近","118","117"
"家主席習近平","118","117"
"菲律宾总统小","112","112"
"律宾总统小马","112","112"
"宾总统小马可","111","111"
"美国总统拜登","110","110"
"中國國家主席","106","106"
"國國家主席習","105","105"
"伯克希尔哈撒","98","86"
"克希尔哈撒韦","97","86"
"来的最高水平","97","96"
"外交部發言人","95","95"
"冠病确诊病例","90","88"
"前总统特朗普","89","89"
"美联储主席鲍","89","89"
"联储主席鲍威","89","89"
"储主席鲍威尔","88","88"
"中國外交部發","83","83"
"國外交部發言","83","83"
"电动汽车制造","81","80"
"中国人工智能","77","77"
"外交部发言人","76","75"
"动汽车制造商","76","75"
"加密货币交易","74","74"
"美国联邦储备","73","73"
"中国电动汽车","73","64"
"党总统候选人","72","69"
"卡塔尔世界杯","72","69"
"加利福尼亚州","68","68"
"世界卫生组织","67","67"
"来的最低水平","65","65"
"共中央政治局","64","64"
"国联邦储备局","64","64"
"创下历史新高","63","61"
"创办人郭台铭","63","63"
"福岛第一核电","62","61"
"美国科技巨头","61","61"
"中国科技巨头","61","61"
"中共中央政治","61","61"
"首席执行官黄","60","60"
"席执行官黄仁","60","60"
"执行官黄仁勋","60","60"
"总统特朗普的","59","59"
"片巨头英伟达","59","59"
"布的数据显示","59","59"
"纳斯达克综合","58","57"
"密货币交易所","58","58"
"美国财政部长","58","58"
"世界反法西斯","58","51"
"斯达克综合指","57","56"
"马来西亚政府","57","57"
"达克综合指数","56","55"
"中央政治局委","56","56"
"大型科技公司","56","55"
"以来的最高水","56","56"
"社交媒体平台","55","55"
"希尔哈撒韦公","55","53"
"日本经济新闻","55","55"
"俄罗斯外交部","54","53"
"尔哈撒韦公司","54","52"
"暨世界反法西","54","51"
"哪吒之魔童闹","54","50"
"吒之魔童闹海","54","50"
"接种冠病疫苗","53","52"
"领导人金正恩","51","51"
"国际货币基金","51","50"
"日經平均指數","51","41"
"岛第一核电站","51","50"
"经济学家表示","51","50"
"总统杜特尔特","50","50"
"选总统特朗普","50","50"
"冠病疫苗接种","50","49"
"当选总统特朗","49","49"
"中國人民抗日","49","45"
"國人民抗日戰","49","45"
"人民抗日戰爭","49","45"
"首相岸田文雄","49","49"
"也门胡塞武装","49","49"
"个国家和地区","48","47"
"晶片巨头英伟","48","48"
"亚洲周刊专区","48","48"
"個國家和地區","47","45"
"公司首席执行","47","47"
"司首席执行官","47","47"
"际货币基金组","47","46"
"货币基金组织","47","46"
"美国加利福尼","47","47"
"国加利福尼亚","47","47"
"俄罗斯入侵乌","47","47"
"罗斯入侵乌克","47","47"
"斯入侵乌克兰","47","47"
"反法西斯戰爭","47","39"
"主席習近平在","46","46"
"進入預定軌道","46","46"
"以来的最低水","46","46"
"半导体制造设","46","43"
"美国证券交易","45","44"
"中国外交部发","45","44"
"任总统特朗普","45","45"
"衛星順利進入","45","45"
"星順利進入預","45","45"
