"8gram","Frequency","Total Tweets"
"中国国家主席习近","133","133"
"国国家主席习近平","133","133"
"菲律宾总统小马可","97","97"
"律宾总统小马可斯","97","97"
"美联储主席鲍威尔","66","66"
"纳斯达克综合指数","49","48"
"中國國家主席習近","46","46"
"國國家主席習近平","46","46"
"俄罗斯入侵乌克兰","45","45"
"美国前总统特朗普","43","43"
"国际货币基金组织","40","39"
"鸿海创办人郭台铭","39","39"
"美国财政部长耶伦","38","38"
"日本首相岸田文雄","38","38"
"美国加利福尼亚州","38","38"
"伯克希尔哈撒韦公","37","37"
"克希尔哈撒韦公司","36","36"
"中国外交部发言人","35","35"
"美国证券交易委员","35","34"
"国证券交易委员会","35","34"
"中國外交部發言人","34","34"
"台湾前总统马英九","33","33"
"国电动汽车制造商","33","32"
"中共中央政治局委","31","31"
"中共总书记习近平","28","28"
"的伯克希尔哈撒韦","28","28"
"中国电动汽车制造","27","26"
"美国疾病控制与预","26","26"
"国疾病控制与预防","26","26"
"疾病控制与预防中","26","26"
"病控制与预防中心","26","26"
"美国当选总统特朗","26","26"
"国当选总统特朗普","26","26"
"台湾在野的国民党","25","25"
"总统候选人侯友宜","25","25"
"集团创办人郭台铭","24","24"
"美国国务卿布林肯","23","23"
"鸿海集团创办人郭","23","23"
"海集团创办人郭台","23","23"
"总统参选人侯友宜","22","22"
"俄罗斯外交部长拉","22","22"
"罗斯外交部长拉夫","22","22"
"斯外交部长拉夫罗","22","22"
"外交部长拉夫罗夫","22","22"
"国民党总统候选人","22","22"
"民党总统候选人侯","22","22"
"党总统候选人侯友","22","22"
"海上集装箱运输量","21","18"
"国民党总统参选人","21","21"
"首席执行官马斯克","21","21"
"美国众议院议长佩","21","21"
"国众议院议长佩洛","21","21"
"众议院议长佩洛西","21","21"
"与中国国家主席习","20","20"
"的加密货币交易所","20","20"
"国家级自然保护区","20","18"
"國家主席習近平在","20","20"
"完成冠病疫苗接种","20","20"
"中央流行疫情指挥","20","20"
"央流行疫情指挥中","20","20"
"流行疫情指挥中心","20","20"
"民众党总统候选人","20","20"
"国家主席习近平星","19","19"
"家主席习近平星期","19","19"
"菲律宾海岸警卫队","19","19"
"总统候选人柯文哲","19","19"
"联储主席鲍威尔表","19","19"
"丰富奖品等你赢取","19","19"
"国家主席习近平在","18","18"
"土耳其总统埃尔多","18","18"
"耳其总统埃尔多安","18","18"
"总统参选人柯文哲","18","18"
"这家电动汽车制造","18","18"
"家电动汽车制造商","18","18"
"美国食品与药物管","18","18"
"国食品与药物管理","18","18"
"食品与药物管理局","18","18"
"地缘政治紧张局势","18","17"
"电动车巨头特斯拉","18","18"
"民党总统参选人侯","18","18"
"党总统参选人侯友","18","18"
"联合国秘书长古特","18","18"
"合国秘书长古特雷","18","18"
"国秘书长古特雷斯","18","18"
"加密货币交易所币","18","18"
"密货币交易所币安","18","18"
"储主席鲍威尔表示","18","18"
"宾总统小马可斯说","18","18"
"共中央政治局委員","18","18"
"星順利進入預定軌","18","18"
"中国领导人习近平","17","17"
"民众党主席柯文哲","17","17"
"朝鲜领导人金正恩","17","17"
"国家主席习近平会","17","17"
"农业及粮食安全部","17","17"
"奥密克戎变种毒株","17","17"
"衛星順利進入預定","17","17"
"順利進入預定軌道","17","17"
"众党总统候选人柯","17","17"
"党总统候选人柯文","17","17"
"民众党总统参选人","16","16"
"众党总统参选人柯","16","16"
"党总统参选人柯文","16","16"
"阿拉伯联合酋长国","16","16"
"科技巨头苹果公司","16","16"
"俄罗斯总统普京说","16","16"
"特斯拉首席执行官","16","16"
"新加坡总理李显龙","16","16"
"菲律宾总统杜特尔","16","16"
"律宾总统杜特尔特","16","16"
"國外交部發言人毛","16","16"
"外交部發言人毛寧","16","16"
"首相拿督斯里安华","15","15"
"台湾积体电路制造","15","15"
"美国联邦贸易委员","15","15"
"国联邦贸易委员会","15","15"
"俄罗斯天然气工业","15","15"
"在香港上市的股票","15","15"
"共和党总统候选人","15","15"
"共中央政治局委员","15","15"
"乌克兰总统泽连斯","15","15"
"克兰总统泽连斯基","15","15"
"这家社交媒体公司","15","15"
"变种毒株奥密克戎","15","15"
"宾总统小马可斯星","14","14"
"总统小马可斯星期","14","14"
"月以来的最低水平","14","14"
"福岛第一核电站处","14","14"
"岛第一核电站处理","14","14"
"第一核电站处理水","14","14"
"月以来的最高水平","14","14"
"联合国教科文组织","14","12"
"消息人士的话报道","14","14"
"芯片制造商英伟达","14","14"
"星顺利进入预定轨","14","14"
"新增冠病确诊病例","14","14"
"下的伯克希尔哈撒","14","14"
"中國載人航天工程","14","11"
"衛星發射中心使用","14","14"
"星發射中心使用長","14","14"
"任務獲得圓滿成功","14","14"
"家主席習近平在北","14","14"
"主席習近平在北京","14","14"
"台湾中央流行疫情","14","14"
"湾中央流行疫情指","14","14"
"苏伊士运河管理局","14","14"
"中国外交部长王毅","13","13"
"日本东京电力公司","13","13"
"的海上集装箱运输","13","13"
"台积电创办人张忠","13","13"
"积电创办人张忠谋","13","13"
"斯达克综合指数上","13","13"
"达克综合指数上涨","13","13"
"卫星顺利进入预定","13","13"
"顺利进入预定轨道","13","13"
"全球第二大经济体","13","13"
"俄罗斯进攻乌克兰","13","13"
"首席执行官黄仁勋","13","13"
"冠病疫情暴发以来","13","13"
"斯拉首席执行官马","13","13"
"拉首席执行官马斯","13","13"
"年度汉字由你决定","13","13"
"席習近平在北京人","13","13"
"習近平在北京人民","13","13"
"近平在北京人民大","13","13"
"平在北京人民大會","13","13"
"在北京人民大會堂","13","13"
"中国驻菲律宾大使","12","12"
"斯达克综合指数下","12","12"
"达克综合指数下跌","12","12"
"副总理兼财政部长","12","12"
"总理兼财政部长黄","12","12"
