"1gram","Frequency","Total Tweets"
"的","120736","49498"
"国","52201","26171"
"中","50374","28284"
"在","44877","30775"
"日","37178","22463"
"一","37034","25910"
"人","30172","19474"
"年","29630","18779"
"美","28422","17163"
"大","27710","19971"
"是","22861","16990"
"和","20735","16380"
"上","20679","15914"
"了","20597","16008"
"新","20288","15017"
"月","20051","15308"
"國","19811","8118"
"出","19278","15097"
"有","19159","15099"
"不","18115","14022"
"本","18029","11207"
"为","16807","13561"
"能","15888","12116"
"行","15471","11929"
"成","15280","12342"
"以","15244","12899"
"家","14876","11793"
"公","14678","10909"
"来","14392","12044"
"发","13794","11053"
"这","13756","11616"
"对","13731","10954"
"高","13682","10718"
"将","13392","10726"
"地","13208","10099"
"下","13131","10694"
"到","12962","10980"
"市","12917","9470"
"全","12776","10265"
"生","12622","9582"
"加","12205","9557"
"期","11915","10044"
"最","11802","10052"
"业","11672","8010"
"会","11501","8696"
"前","11177","9849"
"多","11130","9487"
"个","10805","8857"
"元","10801","6741"
"可","10796","9024"
"用","10711","8112"
"动","10299","8086"
"工","10000","6961"
"部","9725","7765"
"时","9684","8112"
"司","9526","7143"
"海","9483","6056"
"商","9206","7585"
"要","9170","7776"
"表","9170","7937"
"政","9142","6989"
"于","9108","8086"
"增","9083","6287"
"度","9076","7227"
"天","9059","7134"
"方","9007","7353"
"机","8885","6205"
"外","8779","6877"
"现","8680","7493"
"台","8628","5119"
"长","8550","6767"
"民","8509","6299"
"开","8476","7158"
"特","8416","6262"
"斯","8413","5490"
"产","8390","6009"
"经","8337","6529"
"自","8302","6986"
"示","8291","7548"
"力","8289","7039"
"与","8280","7188"
"面","8155","6831"
"作","8126","6752"
"电","8025","4775"
"近","8009","7136"
"者","7989","6735"
"等","7980","6907"
"场","7932","6510"
"正","7900","7077"
"也","7893","7217"
"分","7869","6820"
"金","7857","5116"
"球","7842","5937"
"南","7835","6255"
"后","7793","7004"
"过","7771","6861"
"之","7710","6909"
"资","7703","5404"
"通","7633","6202"
"数","7615","5994"
"入","7593","6457"
"至","7580","6589"
"重","7481","6412"
"股","7467","4352"
"合","7438","6084"
"利","7410","5850"
"制","7387","5940"
"同","7381","6213"
"关","7357","6080"
"次","7335","6140"
"主","7335","6330"
"已","7322","6724"
"进","7314","6350"
"其","7299","6561"
"化","7211","5556"
"比","7145","5567"
"首","7007","5937"
"他","6957","5537"
"量","6835","5077"
"但","6767","6453"
"报","6756","6099"
"价","6755","4782"
"交","6719","5374"
"情","6694","5782"
"品","6571","4745"
"平","6559","5381"
"企","6525","4520"
"体","6505","5105"
"法","6492","4934"
"布","6467","5779"
"周","6458","5592"
"车","6384","3307"
"口","6321","4333"
"三","6290","5275"
"提","6267","5520"
"西","6191","4644"
"投","6177","4647"
"星","6163","4781"
"持","6107","5359"
"计","6084","5174"
"第","6074","5042"
"受","6014","5515"
"事","5989","5089"
"起","5951","5308"
"文","5915","4169"
"定","5893","5185"
"小","5839","4551"
"名","5824","4850"
"而","5782","5340"
"被","5720","5055"
"员","5698","4535"
"果","5696","4482"
"相","5685","5086"
"得","5575","5019"
"今","5566","5129"
"达","5546","4688"
"技","5534","4409"
"马","5516","3954"
"水","5405","3894"
"如","5379","4819"
"向","5365","4778"
"总","5360","4503"
"心","5352","4687"
"展","5348","4448"
"指","5345","4150"
"万","5330","3930"
"理","5316","4382"
"说","5314","4807"
"收","5283","4172"
"世","5276","4177"
"就","5249","4702"
"道","5197","4539"
"界","5184","4321"
"更","5181","4491"
"及","5153","4728"
"应","5131","4413"
"疫","5118","3419"
"导","5105","4038"
"内","5102","4550"
"并","5083","4809"
"手","5054","4076"
"造","5046","4386"
"因","5017","4596"
"接","5016","4292"
"们","5004","4055"
"亚","4987","3895"
"子","4982","3881"
"目","4974","4458"
"代","4972","4067"
"為","4950","3773"
"安","4935","3924"
"物","4930","3577"
"此","4908","4637"
"统","4889","4092"
"普","4887","3850"
"科","4851","3884"
"超","4845","4109"
"都","4788","4259"
"学","4786","3141"
"实","4784","4240"
"發","4760","3175"
"性","4753","4030"
"格","4742","3773"
"亿","4720","3290"
"间","4694","4195"
"北","4636","3611"
"推","4627","4165"
"明","4625","4070"
"府","4619","4015"
"克","4588","3487"
"位","4582","4047"
"消","4568","3855"
"济","4537","3366"
"该","4520","3992"
"半","4517","3182"
"从","4516","4157"
"求","4515","3982"
"务","4495","3709"
"里","4469","3730"
"影","4409","3692"
"使","4399","3906"
"空","4368","3106"
"据","4341","3813"
"预","4326","3612"
"着","4313","3914"
"当","4309","3928"
"會","4308","2561"
"续","4300","3921"
"两","4297","3792"
"建","4296","3400"
"约","4259","3643"
"所","4221","3814"
"拉","4216","3185"
"看","4213","3664"
"供","4211","3586"
"易","4187","3352"
"京","4159","3093"
"意","4157","3757"
"型","4143","3240"
"來","4130","3345"
"式","4111","3595"
"客","4102","2975"
"称","4079","3813"
"强","4075","3660"
"管","4071","3453"
"我","4054","3040"
"山","4048","2648"
"些","4043","3535"
"然","4039","3609"
"需","4039","3529"
"种","3988","3127"
"去","3964","3609"
"升","3942","3493"
"尔","3937","3150"
"降","3927","3119"
"好","3924","3437"
"二","3914","3386"
"英","3909","2825"
"少","3906","3397"
"巴","3900","2490"
"原","3892","3325"
"联","3889","3236"
"基","3879","3178"
"华","3876","3093"
"运","3858","2773"
"回","3836","3373"
"航","3821","2093"
"率","3819","2925"
"东","3814","2993"
"放","3796","3273"
"保","3783","3210"
"病","3763","2258"
"系","3738","3173"
"引","3738","3519"
"由","3732","3539"
"区","3729","3129"
"售","3724","2935"
"涨","3720","2419"
"低","3719","3217"
"还","3710","3471"
"局","3682","3252"
"创","3673","3229"
"士","3668","3002"
"议","3642","2967"
"调","3636","3117"
"汽","3635","2234"
"片","3586","2688"
"战","3583","2947"
"洋","3558","3300"
"朗","3550","2546"
"越","3549","2174"
"源","3546","2944"
"未","3541","3304"
"流","3503","2951"
"点","3495","3010"
"冠","3458","2853"
"洲","3432","2507"
"立","3429","2918"
"將","3413","2467"
"州","3409","2541"
"俄","3408","1961"
"信","3406","2788"
"设","3405","2744"
"施","3399","2964"
"网","3384","2773"
"件","3336","2752"
"業","3330","2006"
"活","3323","2859"
"對","3318","2351"
"共","3310","2814"
"長","3304","2228"
"湾","3303","2107"
"集","3295","2785"
"息","3281","2793"
"任","3273","2677"
"模","3267","2672"
"四","3255","2906"
"取","3245","2987"
"选","3240","2340"
"反","3228","2848"
"感","3223","2737"
"解","3220","2918"
"程","3150","2722"
"值","3139","2483"
"支","3137","2691"
"头","3128","2857"
"再","3123","2915"
"路","3119","2397"
"研","3117","2467"
"罗","3117","2179"
"费","3111","2498"
"变","3095","2631"
"际","3092","2804"
"风","3089","2560"
"時","3071","2437"
"德","3053","2371"
"无","3051","2676"
"動","3051","2286"
"显","3042","2846"
"境","3039","2398"
"打","3037","2726"
"问","3027","2677"
"始","3019","2844"
"開","3014","2320"
"游","3001","1905"
