"9gram","Frequency","Total Tweets"
"中国国家主席习近平","142","142"
"菲律宾总统小马可斯","99","99"
"中國國家主席習近平","48","48"
"美国当选总统特朗普","41","41"
"美国证券交易委员会","38","37"
"伯克希尔哈撒韦公司","38","37"
"美国候任总统特朗普","35","35"
"中国电动汽车制造商","28","27"
"美国疾病控制与预防","27","27"
"国疾病控制与预防中","27","27"
"疾病控制与预防中心","27","27"
"鸿海集团创办人郭台","23","23"
"海集团创办人郭台铭","23","23"
"俄罗斯外交部长拉夫","22","22"
"罗斯外交部长拉夫罗","22","22"
"斯外交部长拉夫罗夫","22","22"
"国民党总统候选人侯","22","22"
"民党总统候选人侯友","22","22"
"党总统候选人侯友宜","22","22"
"与中国国家主席习近","22","22"
"中共中央政治局委員","22","22"
"中國外交部發言人毛","21","21"
"國外交部發言人毛寧","21","21"
"衛星順利進入預定軌","21","21"
"星順利進入預定軌道","21","21"
"美国众议院议长佩洛","21","21"
"国众议院议长佩洛西","21","21"
"国国家主席习近平星","20","20"
"国家主席习近平星期","20","20"
"中央流行疫情指挥中","20","20"
"央流行疫情指挥中心","20","20"
"國國家主席習近平在","20","20"
"联合国秘书长古特雷","19","19"
"合国秘书长古特雷斯","19","19"
"律宾总统小马可斯说","19","19"
"加密货币交易所币安","19","19"
"的伯克希尔哈撒韦公","19","19"
"美联储主席鲍威尔表","19","19"
"土耳其总统埃尔多安","18","18"
"国国家主席习近平在","18","18"
"国民党总统参选人侯","18","18"
"民党总统参选人侯友","18","18"
"党总统参选人侯友宜","18","18"
"乌克兰总统泽连斯基","18","18"
"这家电动汽车制造商","18","18"
"美国食品与药物管理","18","18"
"国食品与药物管理局","18","18"
"联储主席鲍威尔表示","18","18"
"衛星發射中心使用長","17","17"
"民众党总统候选人柯","17","17"
"众党总统候选人柯文","17","17"
"党总统候选人柯文哲","17","17"
"北方民族大學華韻文","17","17"
"方民族大學華韻文化","17","17"
"民族大學華韻文化雙","17","17"
"族大學華韻文化雙語","17","17"
"中共中央政治局委员","16","16"
"發射任務獲得圓滿成","16","16"
"射任務獲得圓滿成功","16","16"
"民众党总统参选人柯","16","16"
"众党总统参选人柯文","16","16"
"党总统参选人柯文哲","16","16"
"国国家主席习近平会","16","16"
"大學華韻文化雙語傳","16","16"
"菲律宾总统杜特尔特","16","16"
"纳斯达克综合指数上","15","15"
"斯达克综合指数上涨","15","15"
"卫星顺利进入预定轨","15","15"
"星顺利进入预定轨道","15","15"
"中國載人航天工程辦","15","14"
"國載人航天工程辦公","15","14"
"載人航天工程辦公室","15","14"
"美国联邦贸易委员会","15","15"
"特斯拉首席执行官马","14","14"
"斯拉首席执行官马斯","14","14"
"拉首席执行官马斯克","14","14"
"律宾总统小马可斯星","14","14"
"宾总统小马可斯星期","14","14"
"星發射中心使用長征","14","14"
"福岛第一核电站处理","14","14"
"岛第一核电站处理水","14","14"
"學華韻文化雙語傳播","14","14"
"華韻文化雙語傳播社","14","14"
"下的伯克希尔哈撒韦","14","14"
"台湾中央流行疫情指","14","14"
"湾中央流行疫情指挥","14","14"
"國家主席習近平在北","14","14"
"家主席習近平在北京","14","14"
"以色列总理内坦亚胡","13","13"
"总理兼财政部长黄循","13","13"
"理兼财政部长黄循财","13","13"
"的海上集装箱运输量","13","13"
"台积电创办人张忠谋","13","13"
"主席習近平在北京人","13","13"
"席習近平在北京人民","13","13"
"習近平在北京人民大","13","13"
"近平在北京人民大會","13","13"
"平在北京人民大會堂","13","13"
"名消息人士的话报道","12","12"
"槟州首席部长曹观友","12","12"
"俄罗斯总统普京星期","12","12"
"巴勒斯坦伊斯兰抵抗","12","12"
"勒斯坦伊斯兰抵抗运","12","12"
"斯坦伊斯兰抵抗运动","12","12"
"高级公职人员犯罪调","12","12"
"级公职人员犯罪调查","12","12"
