"7gram","Frequency","Total Tweets"
"美国总统特朗普","210","209"
"哪吒之魔童闹海","47","43"
"候任总统特朗普","33","33"
"美国候任总统特","27","27"
"国候任总统特朗","27","27"
"国家主席习近平","24","24"
"中国国家主席习","23","23"
"国国家主席习近","23","23"
"中國外交部發言","23","23"
"國外交部發言人","23","23"
"哪吒之魔童鬧海","21","18"
"首席执行官黄仁","20","20"
"席执行官黄仁勋","20","20"
"国总统特朗普的","18","18"
"据知情人士透露","17","17"
"当选总统特朗普","17","17"
"國家主席習近平","15","14"
"美国当选总统特","15","15"
"国当选总统特朗","15","15"
"创公司深度求索","14","14"
"总统特朗普的关","13","13"
"国总统特朗普说","13","13"
"美國總統特朗普","13","13"
"总统特朗普宣布","12","12"
"英伟达首席执行","12","12"
"伟达首席执行官","12","12"
"达首席执行官黄","12","12"
"美国特朗普政府","12","12"
"中國國家主席習","12","12"
"國國家主席習近","12","12"
"统特朗普的关税","11","11"
"日本首相石破茂","11","11"
"加拿大和墨西哥","11","11"
"北方民族大學華","11","11"
"方民族大學華韻","11","11"
"民族大學華韻文","11","11"
"族大學華韻文化","11","11"
"大學華韻文化雙","11","11"
"學華韻文化雙語","11","11"
"公司首席执行官","11","11"
"初创公司深度求","11","11"
"中共中央政治局","11","11"
"共中央政治局委","11","11"
"高级公职人员犯","11","11"
"级公职人员犯罪","11","11"
"公职人员犯罪调","11","11"
"职人员犯罪调查","11","11"
"人员犯罪调查处","11","11"
"俄罗斯总统普京","10","10"
"伯克希尔哈撒韦","10","9"
"国总统特朗普表","10","10"
"前总统杜特尔特","10","10"
"人工智能初创公","10","10"
"工智能初创公司","10","10"
"華韻文化雙語傳","10","10"
"人工智能公司深","10","10"
"工智能公司深度","10","10"
"智能公司深度求","10","10"
"能公司深度求索","10","10"
"美国联邦储备局","10","10"
"外交部發言人毛","10","10"
"交部發言人毛寧","10","10"
"国总统特朗普宣","9","9"
"特朗普政府正在","9","9"
"科技巨头阿里巴","9","9"
"技巨头阿里巴巴","9","9"
"商務部新聞發言","9","8"
"務部新聞發言人","9","8"
"外交部發言人林","9","9"
"交部發言人林劍","9","9"
"与美国总统特朗","9","9"
"克希尔哈撒韦公","9","8"
"希尔哈撒韦公司","9","8"
"总统特朗普表示","9","9"
"中國網絡媒體論","9","8"
"國網絡媒體論壇","9","8"
"乌克兰总统泽连","9","9"
"克兰总统泽连斯","9","9"
"兰总统泽连斯基","9","9"
"国总统特朗普在","9","9"
"中國常駐聯合國","9","9"
"中国人工智能公","9","9"
"国人工智能公司","9","9"
"中國載人航天工","9","8"
"國載人航天工程","9","8"
"财政部长贝森特","9","9"
"聯合國教科文組","9","5"
"合國教科文組織","9","5"
"韩国总统尹锡悦","9","9"
"韩国高级公职人","9","9"
"国高级公职人员","9","9"
"在美国总统特朗","8","8"
"总统特朗普星期","8","8"
"俄羅斯總統普京","8","7"
"中国人工智能初","8","8"
"国人工智能初创","8","8"
"韻文化雙語傳播","8","8"
"文化雙語傳播社","8","8"
"中国初创公司深","8","8"
"国初创公司深度","8","8"
"美国财政部长贝","8","8"
"国财政部长贝森","8","8"
"中央政治局委員","8","8"
"非物質文化遺產","8","7"
"中国科技巨头阿","7","7"
"国科技巨头阿里","7","7"
"国总统特朗普星","7","7"
"中國商務部新聞","7","6"
"國商務部新聞發","7","6"
"鐵收購美國鋼鐵","7","6"
"據網絡平台數據","7","7"
"国总统特朗普周","7","7"
"首席执行官库克","7","7"
"中国外交部长王","7","7"
"国外交部长王毅","7","7"
"中華人民共和國","7","7"
"載人航天工程辦","7","7"
"人航天工程辦公","7","7"
"航天工程辦公室","7","7"
"特朗普政府计划","7","7"
"蘇聯偉大衛國戰","7","6"
"青海野生动物救","6","5"
"海野生动物救护","6","5"
"野生动物救护繁","6","5"
"生动物救护繁育","6","5"
"动物救护繁育中","6","5"
"物救护繁育中心","6","5"
"晶片巨头英伟达","6","6"
"统特朗普宣布对","6","6"
"对美国总统特朗","6","6"
"全球影史票房榜","6","6"
"加拿大总理卡尼","6","6"
"菲律宾前总统杜","6","6"
"律宾前总统杜特","6","6"
"宾前总统杜特尔","6","6"
"菲律宾总统小马","6","6"
"律宾总统小马可","6","6"
"宾总统小马可斯","6","6"
"总执行长黄仁勋","6","6"
"據中國載人航天","6","6"
"人工智能领域的","6","6"
"政府工作報告中","6","4"
"以色列和哈马斯","6","6"
"英伟达执行长黄","6","6"
"伟达执行长黄仁","6","6"
"达执行长黄仁勋","6","6"
"個國家和地區的","6","6"
"泰国总理佩通坦","6","4"
"特朗普重返白宫","6","6"
"在人工智能领域","6","6"
"中国人工智能企","6","6"
"国人工智能企业","6","6"
"人工智能企业深","6","6"
"工智能企业深度","6","6"
"智能企业深度求","6","6"
"能企业深度求索","6","6"
"国进口商品征收","6","6"
"中國駐紐約總領","6","3"
"总统特朗普即将","6","6"
"新加坡时间星期","6","5"
"首席执行官周受","6","6"
"席执行官周受资","6","6"
"特朗普的就职典","6","6"
"朗普的就职典礼","6","6"
"聯偉大衛國戰爭","6","5"
"国总统特朗普再","5","5"
"美国国债收益率","5","4"
"在社交媒体上发","5","5"
"中國國民黨副主","5","3"
"國國民黨副主席","5","3"
"展开反垄断调查","5","5"
"中共中央總書記","5","4"
"墨西哥和加拿大","5","5"
"特朗普签署行政","5","5"
"司首席执行官库","5","5"
"国总统特朗普将","5","5"
"美国科技巨头苹","5","5"
"国科技巨头苹果","5","5"
"香港上市的股票","5","5"
"名知情人士透露","5","5"
"科技巨头苹果公","5","5"
"技巨头苹果公司","5","5"
"紐約聯合國總部","5","5"
"天工程辦公室消","5","5"
"工程辦公室消息","5","5"
"特朗普就职典礼","5","5"
"衛星發射中心使","5","5"
"星發射中心使用","5","5"
"發射中心使用長","5","5"
"衛星順利進入預","5","5"
"星順利進入預定","5","5"
"順利進入預定軌","5","5"
"利進入預定軌道","5","5"
"發射任務獲得圓","5","5"
"射任務獲得圓滿","5","5"
"任務獲得圓滿成","5","5"
"務獲得圓滿成功","5","5"
"中新社記者採訪","5","5"
"首个人形机器人","5","5"
"人形机器人半程","5","4"
"形机器人半程马","5","4"
"机器人半程马拉","5","4"
"器人半程马拉松","5","4"
"北京亦庄半程马","5","4"
"京亦庄半程马拉","5","4"
"亦庄半程马拉松","5","4"
"政協十四屆三次","5","5"
"協十四屆三次會","5","5"
"十四屆三次會議","5","5"
"对加拿大和墨西","5","5"
"中共总书记习近","5","5"
"共总书记习近平","5","5"
"哈爾濱冰雪大世","5","4"
"爾濱冰雪大世界","5","4"
"小米集团董事长","5","5"
"米集团董事长雷","5","5"
"集团董事长雷军","5","5"
"入全球影史票房","5","4"
"慕尼黑安全会议","5","5"
"入全球票房榜前","5","4"
"中國國家鐵路集","5","5"
"國國家鐵路集團","5","5"
"國家鐵路集團有","5","5"
"家鐵路集團有限","5","5"
"鐵路集團有限公","5","5"
"路集團有限公司","5","5"
"中国驻韩国大使","5","5"
"美联储主席鲍威","5","5"
"联储主席鲍威尔","5","5"
"國駐紐約總領事","5","3"
"国总统特朗普签","5","5"
"总统特朗普签署","5","5"
"美国加利福尼亚","5","5"
"国加利福尼亚州","5","5"
"西藏日喀则市定","5","5"
"藏日喀则市定日","5","5"
"日喀则市定日县","5","5"
"美國財政部長貝","5","5"
"國財政部長貝森","5","5"
"財政部長貝森特","5","5"
"偉大衛國戰爭勝","5","4"
"大衛國戰爭勝利","5","4"
"国达成贸易协议","5","5"
"国防部长赫格塞","4","4"
"防部长赫格塞斯","4","4"
"与中国国家主席","4","4"
"暨世界反法西斯","4","4"
"特朗普政府的关","4","4"
"朗普政府的关税","4","4"
"例行新聞發布會","4","4"
"以来的最低水平","4","4"
"国总统特朗普发","4","4"
"救护繁育中心救","4","4"
"护繁育中心救助","4","4"
"繁育中心救助了","4","4"
"育中心救助了一","4","4"
"中心救助了一只","4","4"
"心救助了一只重","4","4"
"救助了一只重伤","4","4"
"助了一只重伤的","4","4"
"了一只重伤的雪","4","4"
"一只重伤的雪豹","4","4"
"只重伤的雪豹幼","4","4"
"重伤的雪豹幼崽","4","4"
"外國投資委員會","4","3"
"日本製鐵收購美","4","4"
"本製鐵收購美國","4","4"
"製鐵收購美國鋼","4","4"
"特朗普政府宣布","4","4"
"國家移民管理局","4","4"
"特朗普的关税政","4","4"
"朗普的关税政策","4","4"
"母公司字节跳动","4","4"
"國民黨副主席夏","4","3"
"民黨副主席夏立","4","3"
"黨副主席夏立言","4","3"
"美国关税的影响","4","4"
"在社交平台发文","4","4"
"国驻菲律宾大使","4","4"
"应对特朗普政府","4","4"
"对特朗普政府的","4","4"
"卫星顺利进入预","4","4"
"星顺利进入预定","4","4"
"顺利进入预定轨","4","4"
"利进入预定轨道","4","4"
"发射任务获得圆","4","4"
"射任务获得圆满","4","4"
"任务获得圆满成","4","4"
"务获得圆满成功","4","4"
"美国副总统万斯","4","4"
"国总统特朗普推","4","4"
"中国汽车制造商","4","4"
"在北京人民大會","4","4"
"北京人民大會堂","4","4"
"朗普签署行政令","4","4"
"苹果公司首席执","4","4"
"果公司首席执行","4","4"
"消费者信心指数","4","4"
"中国发展高层论","4","4"
"国发展高层论坛","4","4"
"國常駐聯合國代","4","4"
"常駐聯合國代表","4","4"
"中华人民共和国","4","4"
"在香港上市的股","4","4"
"年全國春季游泳","4","4"
"全國春季游泳錦","4","4"
"國春季游泳錦標","4","4"
"春季游泳錦標賽","4","4"
"以來的最低水準","4","4"
"敦促特朗普政府","4","4"
"廣西三江侗族自","4","4"
"西三江侗族自治","4","4"
"三江侗族自治縣","4","4"
"英伟达总执行长","4","4"
"伟达总执行长黄","4","4"
"达总执行长黄仁","4","4"
"的人工智能模型","4","4"
"国总统特朗普就","4","4"
"纳斯达克综合指","4","4"
"斯达克综合指数","4","4"
"据网络平台数据","4","4"
"射中心使用長征","4","4"
"神舟二十号航天","4","4"
"舟二十号航天员","4","4"
"二十号航天员乘","4","4"
"十号航天员乘组","4","4"
"寫入政府工作報","4","3"
"入政府工作報告","4","3"
"接受中新社記者","4","4"
"受中新社記者採","4","4"
"新社記者採訪時","4","4"
"全球首个人形机","4","4"
"球首个人形机器","4","4"
"全國政協十四屆","4","4"
"國政協十四屆三","4","4"
"美国总统唐纳德","4","4"
"中国茶饮品牌蜜","4","4"
"国茶饮品牌蜜雪","4","4"
"茶饮品牌蜜雪冰","4","4"
"饮品牌蜜雪冰城","4","4"
"搜索引擎巨头百","4","4"
"索引擎巨头百度","4","4"
"让美国再次伟大","4","4"
"美国证券交易委","4","4"
"国证券交易委员","4","4"
"证券交易委员会","4","4"
"哈尔滨冰雪大世","4","4"
"尔滨冰雪大世界","4","4"
"第一屆川普政府","4","4"
"在中国人工智能","4","4"
"国总统特朗普对","4","4"
"今年的经济增长","4","4"
"成為首部進入全","4","3"
"為首部進入全球","4","3"
"泰国首相佩通坦","4","4"
"开发的人工智能","4","4"
"民營企業座談會","4","3"
"美国政府效率部","4","4"
"外交部發言人郭","4","4"
"交部發言人郭嘉","4","4"
"部發言人郭嘉昆","4","4"
"生成式人工智能","4","4"
"在白宫椭圆形办","4","4"
"白宫椭圆形办公","4","4"
"宫椭圆形办公室","4","4"
"美国财长贝森特","4","4"
"国家移民管理局","4","4"
"國際貨幣基金組","4","3"
"際貨幣基金組織","4","3"
"美国亚利桑那州","4","4"
"中国互联网巨头","4","4"
"特朗普的关税威","4","4"
"朗普的关税威胁","4","4"
"中国企业深度求","4","4"
"国企业深度求索","4","4"
"申遺成功後的首","4","4"
"遺成功後的首個","4","4"
"新加坡国立大学","4","4"
"对中国进口商品","4","4"
"对中国人工智能","4","4"
"美国首都华盛顿","4","4"
"作为中华大地上","4","4"
"为中华大地上最","4","4"
"中华大地上最具","4","4"
"涵盖了中华民族","4","4"
"盖了中华民族丰","4","4"
"了中华民族丰富","4","4"
"中华民族丰富多","4","4"
"华民族丰富多彩","4","4"
"民族丰富多彩的","4","4"
"族丰富多彩的非","4","4"
"丰富多彩的非遗","4","4"
"富多彩的非遗实","4","4"
"多彩的非遗实践","4","4"
"项国家级非遗代","4","4"
"国家级非遗代表","4","4"
"家级非遗代表性","4","4"
"级非遗代表性项","4","4"
"非遗代表性项目","4","4"
"遗代表性项目中","4","4"
"有众多都与春节","4","4"
"众多都与春节密","4","4"
"多都与春节密不","4","4"
"都与春节密不可","4","4"
"与春节密不可分","4","4"
"英伟达股价暴跌","4","4"
"中美經貿高層會","4","3"
"美經貿高層會談","4","3"
"神舟十九号航天","4","3"
