"4gram","Frequency","Total Tweets"
"南洋商报","426","425"
"人工智能","359","309"
"统特朗普","334","333"
"总统特朗","333","332"
"美国总统","281","280"
"国总统特","256","255"
"特朗普政","140","137"
"朗普政府","140","137"
"深度求索","112","110"
"苹果公司","111","95"
"特朗普的","108","101"
"马来西亚","104","97"
"知情人士","88","84"
"中國故事","79","79"
"哪吒之魔","73","66"
"吒之魔童","73","66"
"首席执行","69","69"
"席执行官","69","69"
"国人工智","68","68"
"當地時間","67","67"
"中国人工","59","59"
"科技巨头","58","57"
"阿里巴巴","57","43"
"美国政府","56","56"
"對等關稅","54","40"
"电动汽车","50","42"
"的人工智","49","48"
"之魔童闹","49","45"
"魔童闹海","49","45"
"社交媒体","48","46"
"文化中國","48","48"
"数据中心","46","40"
"对等关税","46","43"
"人士透露","46","46"
"出口管制","46","41"
"经济增长","46","44"
"神奇萌娃","45","45"
"中国国家","44","44"
"形机器人","44","35"
"人形机器","43","34"
"美國總統","42","41"
"中国市场","42","41"
"公司深度","42","42"
"高手在民","41","41"
"司深度求","41","41"
"手在民間","40","40"
"情人士透","40","40"
"巴勒斯坦","40","28"
"关税政策","40","38"
"中國企業","39","35"
"中国科技","39","37"
"国科技巨","39","39"
"魅力中國","38","38"
"数据显示","37","36"
"美国科技","37","37"
"语言模型","36","33"
"蛇年春節","36","34"
"候任总统","36","36"
"美國政府","35","34"
"不确定性","35","35"
"特朗普在","35","35"
"中國國家","35","33"
"中國外交","35","30"
"國外交部","35","30"
"任总统特","35","35"
"初创公司","34","34"
"川普政府","34","33"
"特朗普表","34","33"
"在特朗普","34","34"
"同比增長","34","30"
"同比增长","34","30"
"总统尹锡","34","34"
"统尹锡悦","34","34"
"农历新年","34","31"
"智能手机","33","29"
"科技公司","33","33"
"加密货币","32","25"
"美国关税","32","32"
"人形機器","31","15"
"形機器人","31","15"
"竞争对手","31","29"
"朗普表示","31","30"
"国外交部","31","29"
"中国大陆","31","31"
"美國鋼鐵","30","20"
"中国外交","30","28"
"特朗普说","30","30"
"川普關稅","29","25"
"航空公司","29","26"
"其他国家","29","28"
"国家主席","29","29"
"外交部發","29","29"
"交部發言","29","29"
"部發言人","29","29"
"英伟达股","29","25"
"外交部长","28","28"
"加征关税","28","27"
"加徵關稅","28","21"
"中國市場","28","22"
"字节跳动","28","26"
"越来越多","28","28"
"特朗普宣","28","28"
"国国家主","28","28"
"美国候任","28","28"
"国候任总","28","28"
"美国股市","27","27"
"商品征收","27","25"
"对特朗普","27","27"
"數據顯示","27","27"
"關稅政策","27","25"
"亿美元的","27","27"
"日本國內","27","25"
"家主席习","27","27"
"主席习近","27","27"
"席习近平","27","27"
"社交平台","27","27"
"美国经济","26","24"
"第一季度","26","25"
"中国企业","26","26"
"中共中央","26","25"
"行政命令","26","23"
"科技中國","26","26"
"当选总统","26","26"
"全球最大","25","25"
"监管机构","25","25"
"北京時間","25","25"
"英伟达的","25","25"
"国家安全","25","23"
"贸易伙伴","25","24"
"历史新高","25","23"
"加沙地带","25","20"
"的可能性","25","25"
"朗普的关","25","24"
"美国联邦","24","23"
"國商務部","24","21"
"拜登政府","24","23"
"萬億日元","24","18"
"贸易协议","24","21"
"执行官黄","23","23"
"行官黄仁","23","23"
"官黄仁勋","23","23"
"基础设施","23","23"
"之魔童鬧","23","20"
"魔童鬧海","23","20"
"车制造商","23","23"
"國家主席","23","19"
"当地时间","23","23"
"媒体报道","23","23"
"普的关税","23","22"
"关税措施","23","23"
"馬來西亞","23","14"
"元人民幣","23","18"
"伟达股价","23","21"
"国消费者","22","22"
"的背景下","22","22"
"有限公司","22","21"
"万亿美元","22","20"
"中国经济","22","20"
"汽车制造","22","22"
"受访学者","22","22"
"總統特朗","22","22"
"統特朗普","22","22"
"应用程序","22","19"
"在社交媒","21","21"
"与特朗普","21","20"
"工智能模","21","21"
"解决方案","21","21"
"普政府的","21","21"
"智能模型","21","21"
"造成至少","21","21"
"以来的最","21","21"
"億元人民","21","16"
"自动驾驶","21","17"
"接受中新","21","21"
"动画电影","21","19"
"开源工具","20","20"
"哈佛大学","20","14"
"中國經濟","20","17"
"的一部分","20","20"
"中国电动","20","17"
"据知情人","20","20"
"中国公民","20","18"
"主席習近","20","19"
"席習近平","20","19"
"巴基斯坦","20","12"
"特朗普对","20","20"
"朗普宣布","20","20"
"经济学家","20","19"
"黄金价格","20","19"
"时间星期","20","18"
"进口商品","20","18"
"国商务部","20","20"
"美国消费","20","20"
"头英伟达","20","20"
"推理模型","20","15"
"清华大学","20","19"
"政府工作","20","15"
"美國經濟","19","18"
"澳大利亚","19","19"
"宁德时代","19","14"
"世界第一","19","17"
"去年同期","19","15"
"的情况下","19","19"
"國際機場","19","12"
"國總統特","19","19"
"情人士称","19","19"
"停火协议","19","19"
"征收关税","19","19"
"巨头英伟","19","19"
"大语言模","19","19"
"最高法院","19","15"
"日本企業","19","16"
"企业深度","19","19"
"來自中國","18","18"
"关税威胁","18","18"
"高额关税","18","18"
"日本政府","18","16"
"新聞發言","18","16"
"聞發言人","18","16"
"贸易谈判","18","18"
"在美国的","18","18"
"量子计算","18","11"
"杜特尔特","18","13"
"达成协议","18","17"
"总执行长","18","18"
"中国官方","18","18"
"泽连斯基","18","14"
"南中国海","18","16"
"特朗普星","18","18"
"朗普星期","18","18"
"家主席習","18","17"
"全球贸易","18","17"
"國家和地","18","18"
"家和地區","18","18"
"扎克伯格","18","16"
"中国科学","18","16"
"中國大陸","18","14"
"全球影史","18","16"
"影史票房","18","16"
"第四季度","18","15"
"就职典礼","18","17"
"勒斯坦人","18","16"
"业深度求","18","18"
"特朗普将","17","17"
"日本經濟","17","15"
"神舟二十","17","11"
"紧张局势","17","17"
"摩根大通","17","16"
"約合人民","17","16"
"合人民幣","17","16"
"在人工智","17","17"
"与此同时","17","17"
"出口限制","17","14"
"美国市场","17","17"
"选总统特","17","17"
"日本製鐵","16","11"
"罗斯总统","16","16"
"印度尼西","16","16"
"美国企业","16","16"
"成为全球","16","16"
"来自中国","16","16"
"萬億美元","16","13"
"全球經濟","16","13"
"通货膨胀","16","16"
"首次突破","16","16"
"特朗普关","16","16"
"联邦储备","16","16"
"国国务院","16","16"
"訪時表示","16","16"
"国电动车","16","13"
"日元升值","16","11"
"芯片制造","16","16"
"特朗普上","16","16"
"全球票房","16","15"
"以色列和","16","16"
"美国当选","16","16"
"国当选总","16","16"
"开源模型","15","14"
"聊天机器","15","14"
"天机器人","15","14"
"特朗普周","15","15"
"美国制造","15","15"
"社交媒體","15","15"
"俄罗斯总","15","15"
"斯总统普","15","15"
"政府正在","15","15"
"此举可能","15","15"
"載人航天","15","12"
"英伟达首","15","15"
"伟达首席","15","15"
"达首席执","15","15"
"中国汽车","15","10"
"市场预期","15","15"
"經濟增長","15","11"
"美国特朗","15","15"
"国特朗普","15","15"
"加征關稅","15","13"
"中國人民","15","14"
"商品加征","15","13"
"關稅談判","15","15"
"國國家主","15","15"
"特朗普称","15","15"
"全球经济","15","14"
"中國製造","15","12"
"中国政府","15","15"
"發送旅客","15","6"
"加利福尼","15","15"
"签署行政","15","15"
"署行政令","15","14"
"股闻天下","15","15"
"片制造商","15","15"
"中国公司","15","15"
"的机器人","15","13"
"澳大利亞","15","12"
"创公司深","15","15"
"政府宣布","14","14"
"中國科學","14","13"
"在新加坡","14","14"
"收購美國","14","11"
"普政府正","14","14"
"中國公民","14","10"
"香港上市","14","13"
"中国传统","14","14"
"駐聯合國","14","14"
"中國商務","14","11"
"几乎所有","14","14"
"中國載人","14","11"
"长贝森特","14","14"
"执行长黄","14","14"
"行长黄仁","14","14"
"长黄仁勋","14","14"
"新車銷量","14","9"
"首相石破","14","14"
"相石破茂","14","14"
"中國汽車","14","9"
"专栏记者","14","14"
"市场竞争","14","14"
"共中央政","14","14"
"中央政治","14","14"
"央政治局","14","14"
"政治局委","14","14"
"外交部長","14","12"
"朗普关税","14","14"
"同比減少","14","13"
"学者认为","14","14"
"國企業的","14","14"
"国联邦储","14","14"
"邦储备局","14","14"
"指数上涨","14","11"
"個百分點","14","13"
"对英伟达","14","14"
"大阪世博","14","10"
"公司首席","14","14"
"应用商店","14","13"
"果公司在","14","12"
"与俄罗斯","14","14"
"觀點認為","14","13"
"美国国务","14","14"
"工智能公","14","14"
"智能公司","14","14"
"主导地位","14","14"
"聯合國教","14","7"
"合國教科","14","7"
"國教科文","14","7"
"教科文組","14","7"
"科文組織","14","7"
"和墨西哥","14","14"
"国际机场","14","14"
"中国动画","14","12"
"工作報告","14","10"
"具象化了","13","13"
"黄仁勋在","13","13"
"在中国的","13","12"
"投资者的","13","13"
"小马可斯","13","12"
"总统普京","13","13"
"度尼西亚","13","13"
"俄乌战争","13","13"
"族自治州","13","13"
"操作系统","13","11"
"美国财政","13","13"
"贸易紧张","13","13"
"中国社交","13","12"
"在中国市","13","13"
"个交易日","13","12"
"巨头阿里","13","13"
"头阿里巴","13","13"
"移民管理","13","11"
"交部长王","13","13"
"部长王毅","13","13"
"运载火箭","13","10"
"小米集团","13","13"
"这意味着","13","13"
"该公司在","13","13"
"中美經貿","13","6"
"國常駐聯","13","13"
"常駐聯合","13","13"
"新能源汽","13","12"
"主要原因","13","13"
"身邊英雄","13","13"
"在未来几","13","13"
"中美贸易","13","13"
"越來越多","13","13"
"口商品征","13","12"
"个百分点","13","10"
"美國關稅","13","13"
"人民日報","13","13"
"总统拜登","13","13"
"贸易政策","13","13"
"胡塞武装","13","8"
"全國鐵路","13","7"
"日本首相","13","13"
"本首相石","13","13"
"公司股价","13","13"
"美国进口","13","13"
"其中包括","13","13"
"中华民族","13","12"
"中国电影","13","13"
"個國家和","13","13"
"發表聲明","13","12"
"的情況下","13","13"
"强化学习","13","10"
"国媒体报","13","13"
"格陵兰岛","13","8"
"歷史新高","13","12"
"日元貶值","13","10"
"傳統文化","13","12"
"最重要的","13","13"
"中國網絡","13","11"
"俄罗斯的","13","12"
"中国初创","13","13"
"衛星發射","13","8"
"府工作報","13","9"
"公职人员","13","13"
"美国钢铁","13","11"
"奇妙中國","13","13"
"济州航空","13","10"
"开源项目","12","12"
"成为中国","12","12"
"最新消息","12","12"
"最后期限","12","11"
"可以直接","12","12"
"購美國鋼","12","10"
"哈佛大學","12","5"
"交媒体上","12","12"
"同比下降","12","12"
"和俄罗斯","12","12"
"本經濟新","12","11"
"經濟新聞","12","11"
"部新聞發","12","11"
"國載人航","12","11"
"财政部长","12","11"
"野生动物","12","11"
"的出口管","12","12"
"分析师表","12","12"
"析师表示","12","12"
"电商平台","12","12"
"华尔街日","12","12"
"尔街日报","12","12"
"大型科技","12","12"
"特斯拉的","12","10"
"前总统杜","12","12"
"总统杜特","12","12"
"在美国总","12","12"
"产品征收","12","12"
"全球首个","12","12"
"随着中国","12","12"
"見者好運","12","12"
"中國常駐","12","12"
"关税影响","12","12"
"對美出口","12","10"
"分析师认","12","12"
"析师认为","12","12"
"主席鲍威","12","12"
"席鲍威尔","12","12"
"的投资者","12","11"
"工智能领","12","12"
"貿易逆差","12","8"
"不確定性","12","11"
"中国人民","12","12"
"中国商品","12","11"
"关税计划","12","12"
"人民共和","12","12"
"達成協定","12","12"
