"1gram","Frequency","Total Tweets"
"的","23063","10062"
"中","11378","6363"
"国","9467","4775"
"在","8708","6162"
"一","7713","5431"
"國","6928","2790"
"日","6838","4429"
"美","6802","3922"
"人","6463","4149"
"大","5560","4027"
"年","5194","3375"
"是","4799","3465"
"了","4468","3420"
"上","4014","3150"
"月","3850","3026"
"新","3815","2915"
"和","3782","3052"
"出","3750","2977"
"不","3738","2884"
"有","3519","2804"
"能","3457","2627"
"行","3217","2498"
"成","3181","2532"
"以","2897","2468"
"家","2893","2261"
"本","2658","1776"
"公","2640","2049"
"高","2624","2089"
"特","2599","1954"
"地","2576","1993"
"到","2556","2153"
"生","2552","1944"
"全","2544","2043"
"这","2494","2147"
"用","2455","1821"
"下","2451","2019"
"市","2444","1816"
"来","2434","2070"
"为","2408","2035"
"发","2359","1913"
"对","2353","1860"
"商","2303","1930"
"多","2271","1922"
"期","2198","1857"
"最","2197","1865"
"可","2168","1794"
"加","2155","1700"
"普","2144","1617"
"南","2095","1693"
"个","2085","1609"
"前","2035","1809"
"工","2025","1516"
"政","2012","1512"
"方","1983","1578"
"民","1980","1433"
"将","1980","1683"
"天","1947","1537"
"表","1947","1664"
"自","1923","1618"
"关","1914","1469"
"会","1908","1477"
"元","1860","1224"
"部","1856","1491"
"作","1785","1474"
"要","1758","1515"
"时","1720","1441"
"度","1708","1414"
"海","1700","1137"
"动","1696","1379"
"近","1690","1478"
"外","1684","1325"
"报","1682","1561"
"示","1680","1528"
"正","1672","1499"
"合","1671","1326"
"力","1659","1420"
"台","1659","1008"
"文","1658","1137"
"主","1627","1406"
"分","1611","1420"
"為","1602","1214"
"朗","1591","1212"
"司","1589","1250"
"等","1563","1341"
"与","1559","1368"
"會","1550","901"
"之","1540","1360"
"同","1529","1308"
"面","1519","1293"
"發","1509","1026"
"者","1505","1316"
"机","1491","1015"
"化","1482","1145"
"开","1467","1266"
"球","1465","1090"
"首","1457","1218"
"业","1452","1130"
"次","1448","1196"
"他","1438","1141"
"通","1427","1194"
"于","1422","1284"
"入","1420","1223"
"小","1419","1072"
"重","1412","1241"
"也","1401","1283"
"來","1398","1138"
"布","1394","1222"
"其","1391","1277"
"交","1386","1139"
"平","1383","1123"
"斯","1378","918"
"现","1371","1211"
"品","1367","996"
"西","1359","988"
"至","1353","1203"
"场","1352","1147"
"已","1351","1244"
"口","1336","929"
"利","1334","1091"
"金","1315","862"
"就","1314","1137"
"增","1308","955"
"法","1301","986"
"技","1300","1045"
"對","1296","858"
"三","1294","1051"
"第","1286","1076"
"事","1278","1111"
"展","1269","1017"
"提","1258","1094"
"长","1254","1039"
"持","1252","1097"
"总","1251","1077"
"后","1247","1137"
"代","1245","1013"
"理","1244","1004"
"起","1242","1122"
"星","1241","920"
"统","1237","1077"
"定","1232","1074"
"制","1227","1003"
"世","1213","910"
"股","1204","730"
"进","1195","1066"
"心","1190","1044"
"將","1188","848"
"量","1187","924"
"数","1186","963"
"我","1185","893"
"果","1166","914"
"比","1164","944"
"洋","1164","1093"
"过","1163","1042"
"相","1162","1034"
"达","1157","951"
"受","1150","1061"
"界","1149","948"
"科","1146","911"
"收","1144","931"
"如","1139","1031"
"型","1133","826"
"手","1128","915"
"名","1118","932"
"子","1118","884"
"安","1104","873"
"经","1103","934"
"得","1086","1001"
"模","1086","797"
"易","1080","867"
"被","1078","945"
"關","1077","681"
"英","1066","765"
"而","1059","976"
"但","1058","1009"
"道","1052","940"
"都","1048","931"
"時","1047","819"
"资","1036","794"
"看","1033","885"
"指","1032","787"
"水","1024","727"
"府","1021","883"
"周","1020","898"
"推","1015","906"
"税","1013","678"
"式","1013","898"
"投","1012","770"
"動","1005","773"
"開","987","752"
"今","986","910"
"更","985","879"
"并","980","929"
"目","980","877"
"好","979","827"
"長","979","684"
"企","979","748"
"学","971","618"
"向","965","852"
"计","958","835"
"接","956","854"
"器","956","585"
"業","955","584"
"超","947","801"
"物","947","686"
"北","943","746"
"产","938","768"
"此","936","887"
"源","936","813"
"及","934","860"
"影","930","715"
"体","929","801"
"場","920","678"
"智","920","737"
"性","910","792"
"這","909","753"
"機","909","504"
"员","908","732"
"里","907","777"
"空","905","638"
"实","905","797"
"片","901","675"
"明","893","782"
"们","890","728"
"造","887","772"
"内","881","784"
"位","879","785"
"电","876","637"
"说","870","798"
"消","860","723"
"马","853","644"
"建","852","702"
"使","850","749"
"任","850","705"
"着","839","757"
"京","839","643"
"進","838","661"
"山","836","566"
"二","835","699"
"意","825","757"
"情","823","760"
"與","819","668"
"求","815","750"
"网","813","682"
"程","807","683"
"间","806","714"
"价","805","643"
"据","799","701"
"客","794","574"
"巴","794","478"
"应","793","706"
"然","789","721"
"你","787","602"
"所","776","711"
"系","776","668"
"活","776","662"
"务","774","659"
"火","774","539"
"於","772","678"
"友","772","689"
"引","771","718"
