"5gram","Frequency","Total Tweets"
"总统特朗普","142","142"
"美国总统特","77","77"
"国总统特朗","77","77"
"国人工智能","51","51"
"哪吒之魔童","47","43"
"中国人工智","47","47"
"任总统特朗","35","35"
"公司深度求","34","34"
"司深度求索","34","34"
"首席执行官","33","33"
"候任总统特","33","33"
"总统尹锡悦","32","32"
"特朗普政府","30","30"
"吒之魔童闹","30","29"
"之魔童闹海","30","29"
"美国候任总","28","28"
"国候任总统","28","28"
"的人工智能","24","23"
"知情人士透","23","23"
"情人士透露","23","23"
"巴勒斯坦人","18","16"
"企业深度求","18","18"
"业深度求索","18","18"
"当选总统特","17","17"
"选总统特朗","17","17"
"吒之魔童鬧","17","14"
"之魔童鬧海","17","14"
"美国当选总","16","16"
"国当选总统","16","16"
"统特朗普的","15","15"
"人形机器人","15","11"
"国科技巨头","14","14"
"中國外交部","14","13"
"外交部發言","14","14"
"交部發言人","14","14"
"创公司深度","13","13"
"國外交部發","12","12"
"奇妙中國年","12","12"
"億元人民幣","12","10"
"特朗普表示","12","12"
"人工智能模","12","12"
"工智能模型","12","12"
"犯罪调查处","12","12"
"英伟达股价","12","11"
"据知情人士","11","11"
"席执行官黄","11","11"
"执行官黄仁","11","11"
"行官黄仁勋","11","11"
"中国外交部","11","10"
"高级公职人","11","11"
"级公职人员","11","11"
"公职人员犯","11","11"
"职人员犯罪","11","11"
"人员犯罪调","11","11"
"员犯罪调查","11","11"
"汽车制造商","11","11"
"大语言模型","11","11"
"在人工智能","10","10"
"特朗普上任","10","10"
"中国国家主","10","10"
"国国家主席","10","10"
"国家主席习","10","10"
"家主席习近","10","10"
"主席习近平","10","10"
"韩国高级公","10","10"
"国高级公职","10","10"
"新聞發言人","9","9"
"点击看视频","9","9"
"聯合國教科","9","5"
"合國教科文","9","5"
"國教科文組","9","5"
"教科文組織","9","5"
"韩国总统尹","9","9"
"国总统尹锡","9","9"
"短视频平台","9","9"
"人工智能初","9","9"
"工智能初创","9","9"
"智能初创公","9","9"
"能初创公司","9","9"
"美国钢铁公","9","8"
"国钢铁公司","9","8"
"美国总统拜","9","9"
"国总统拜登","9","9"
"初创公司深","9","9"
"特朗普星期","8","8"
"美国科技巨","8","8"
"特朗普宣布","8","8"
"本文介绍了","8","8"
"非物質文化","8","7"
"物質文化遺","8","7"
"質文化遺產","8","7"
"签署行政令","8","8"
"统特朗普宣","8","8"
"政府效率部","8","8"
"在社交平台","8","8"
"總統特朗普","8","8"
"特朗普的关","8","7"
"的就职典礼","8","7"
"高手在民間","8","8"
"统尹锡悦的","8","8"
"创历史新高","8","8"
"分析师认为","8","8"
"中国科技巨","8","8"
"创始人梁文","8","8"
"人形機器人","7","4"
"中國商務部","7","5"
"的行政命令","7","7"
"特朗普签署","7","7"
"計發送旅客","7","4"
"已造成至少","7","7"
"加沙地带停","7","7"
"沙地带停火","7","7"
"中國駐紐約","7","3"
"统特朗普说","7","7"
"年第四季度","7","7"
"席执行官周","7","7"
"中国社交平","7","7"
"国社交平台","7","7"
"巨头英伟达","7","7"
"英伟达首席","7","7"
"伟达首席执","7","7"
"达首席执行","7","7"
"巴拿马运河","7","5"
"朗普的关税","7","6"
"全球影史票","7","5"
"球影史票房","7","5"
"特朗普的就","7","7"
"朗普的就职","7","7"
"拉斯维加斯","7","7"
"日本首相石","7","7"
"本首相石破","7","7"
"首相石破茂","7","7"
"国媒体报道","7","7"
"进口商品征","7","6"
"口商品征收","7","6"
"中共中央政","7","7"
"共中央政治","7","7"
"中央政治局","7","7"
"央政治局委","7","7"
"西藏日喀则","7","7"
"冰雪大世界","7","6"
"人工智能领","7","7"
"工智能领域","7","7"
"聊天机器人","7","6"
"特斯拉上海","7","6"
"人工智能公","7","7"
"工智能公司","7","7"
"智能公司深","7","7"
"能公司深度","7","7"
"美国科技股","7","7"
"人工智能企","7","7"
"工智能企业","7","7"
"始人梁文锋","7","7"
"中国初创公","7","7"
"国初创公司","7","7"
"加拿大和墨","7","7"
"拿大和墨西","7","7"
"大和墨西哥","7","7"
"年春节假期","6","6"
"中國企業的","6","6"
"出生公民权","6","5"
"部發言人毛","6","6"
"發言人毛寧","6","6"
"中國國家鐵","6","4"
"國國家鐵路","6","4"
"加利福尼亚","6","6"
"利福尼亚州","6","6"
"萬億元人民","6","4"
"國駐紐約總","6","3"
"駐紐約總領","6","3"
"在中国市场","6","6"
"亚利桑那州","6","5"
"特朗普重返","6","6"
"朗普重返白","6","6"
"普重返白宫","6","6"
"短视频应用","6","6"
"創歷史新高","6","6"
"中国电动车","6","4"
"中國常駐聯","6","6"
"國常駐聯合","6","6"
"常駐聯合國","6","6"
"入全球影史","6","5"
"执行官周受","6","6"
"行官周受资","6","6"
"名知情人士","6","6"
"普的就职典","6","6"
"名中国公民","6","6"
"统特朗普对","6","6"
"個國家和地","6","6"
"國家和地區","6","6"
"美国商务部","6","6"
"文化和旅游","6","4"
"北方民族大","6","6"
"方民族大學","6","6"
"民族大學華","6","6"
"族大學華韻","6","6"
"大學華韻文","6","6"
"學華韻文化","6","6"
"華韻文化雙","6","6"
"韻文化雙語","6","6"
"文化雙語傳","6","6"
"在南中国海","6","5"
"苹果公司在","6","6"
"洛杉矶野火","6","4"
"藏日喀则市","6","6"
"知情人士称","6","6"
"受访学者认","6","6"
"访学者认为","6","6"
"巨头阿里巴","6","6"
"头阿里巴巴","6","6"
"入全球票房","6","5"
"全球票房榜","6","5"
"球票房榜前","6","5"
"智能企业深","6","6"
"能企业深度","6","6"
"国家级非遗","6","5"
"华盛顿特区","5","5"
"部新聞發言","5","5"
"西班牙火腿","5","4"
"美国联邦储","5","5"
"国联邦储备","5","5"
"联邦储备局","5","5"
"官方数据显","5","5"
"方数据显示","5","5"
"社交媒体上","5","5"
"高質量發展","5","5"
"集團有限公","5","5"
"團有限公司","5","5"
"射中心使用","5","5"
"结束俄乌战","5","5"
"束俄乌战争","5","5"
"在马来西亚","5","5"
"特朗普就职","5","5"
"首都华盛顿","5","5"
"以色列和哈","5","5"
"色列和哈马","5","5"
"列和哈马斯","5","5"
"純電動汽車","5","5"
"紐約總領事","5","3"
"知情人士说","5","4"
"对美国总统","5","5"
"在一定程度","5","5"
"一定程度上","5","5"
"国债收益率","5","4"
"的首席执行","5","5"
"全球最大的","5","5"
"美國總統特","5","5"
"國總統特朗","5","5"
"公司在中国","5","5"
"中國載人航","5","5"
"國載人航天","5","5"
"載人航天工","5","5"
