"6gram","Frequency","Total Tweets"
"达成贸易协议","5","5"
"今年经济增长","5","5"
"來的最低水準","5","5"
"英伟达股价在","5","5"
"人工智能芯片","5","4"
"与特朗普政府","5","5"
"香港上市的股","5","5"
"港上市的股票","5","5"
"国电动车巨头","5","5"
"国进口商品征","5","5"
"美国太空探索","5","5"
"特朗普就职典","5","5"
"朗普就职典礼","5","5"
"美國總統川普","5","5"
"菲律宾前总统","5","5"
"律宾前总统杜","5","5"
"宾前总统杜特","5","5"
"中國成功發射","5","5"
"衛星發射中心","5","5"
"星發射中心使","5","5"
"發射中心使用","5","5"
"射中心使用長","5","5"
"星順利進入預","5","5"
"順利進入預定","5","5"
"利進入預定軌","5","5"
"進入預定軌道","5","5"
"射任務獲得圓","5","5"
"任務獲得圓滿","5","5"
"務獲得圓滿成","5","5"
"獲得圓滿成功","5","5"
"中新社記者採","5","5"
"新社記者採訪","5","5"
"贸易及工业部","5","5"
"在接受中新網","5","5"
"人形机器人半","5","4"
"北京亦庄半程","5","4"
"京亦庄半程马","5","4"
"亦庄半程马拉","5","4"
"庄半程马拉松","5","4"
"特朗普政府对","5","5"
"政協十四屆三","5","5"
"協十四屆三次","5","5"
"十四屆三次會","5","5"
"四屆三次會議","5","5"
"展开反垄断调","5","5"
"开反垄断调查","5","5"
"总统特朗普周","5","5"
"據中國載人航","5","5"
"国科技巨头苹","5","5"
"市场竞争加剧","5","5"
"引擎巨头百度","5","5"
"对加拿大和墨","5","5"
"人形机器人的","5","5"
"片巨头英伟达","5","5"
"哈爾濱冰雪大","5","4"
"爾濱冰雪大世","5","4"
"濱冰雪大世界","5","4"
"伯克希尔哈撒","5","4"
"克希尔哈撒韦","5","4"
"希尔哈撒韦公","5","4"
"尔哈撒韦公司","5","4"
"在特朗普政府","5","5"
"首席执行官库","5","5"
"席执行官库克","5","5"
"在社交平台发","5","5"
"單一市場票房","5","3"
"入全球影史票","5","4"
"家移民管理局","5","5"
"聯合國安理會","5","5"
"慕尼黑安全会","5","5"
"尼黑安全会议","5","5"
"入全球票房榜","5","4"
"集團有限公司","5","5"
"马来西亚警方","5","5"
"中国驻韩国大","5","5"
"国驻韩国大使","5","5"
"第九届亚冬会","5","5"
"贸易伙伴征收","5","5"
"储能超级工厂","5","3"
"亞洲人權論壇","5","3"
"特朗普签署行","5","5"
"朗普签署行政","5","5"
"墨西哥和加拿","5","5"
"西哥和加拿大","5","5"
"社交媒体巨头","5","5"
"一名联邦法官","5","5"
"駐紐約總領事","5","3"
"美国国债收益","5","4"
"国国债收益率","5","4"
"美國鋼鐵公司","5","5"
"公司字节跳动","5","5"
"路口岸出入境","5","4"
"藏日喀则市定","5","5"
"日喀则市定日","5","5"
"喀则市定日县","5","5"
"济州航空空难","5","5"
"经港珠澳大桥","5","3"
"中国经济增长","5","5"
"博鰲亞洲論壇","5","3"
"国达成贸易协","4","4"
"朗普的关税政","4","4"
"普的关税政策","4","4"
"今年第一季度","4","4"
"国内生产总值","4","4"
"年全國春季游","4","4"
"全國春季游泳","4","4"
"國春季游泳錦","4","4"
"春季游泳錦標","4","4"
"季游泳錦標賽","4","4"
"以來的最低水","4","4"
"美国关税的影","4","4"
"国关税的影响","4","4"
"美国经济增长","4","4"
"总执行长黄仁","4","4"
"中華人民共和","4","4"
"華人民共和國","4","4"
"廣西三江侗族","4","4"
"西三江侗族自","4","4"
"三江侗族自治","4","4"
"江侗族自治縣","4","4"
"行新聞發布會","4","4"
"美国进口商品","4","4"
"总统特朗普就","4","4"
"总统特朗普下","4","4"
"签署行政命令","4","4"
"加密货币行业","4","4"
"接入深度求索","4","4"
"的人工智能模","4","4"
"中华人民共和","4","4"
"华人民共和国","4","4"
"特朗普政府已","4","4"
"应对特朗普政","4","4"
"实施出口管制","4","4"
"神舟十九号航","4","3"
"舟十九号航天","4","3"
"十九号航天员","4","3"
"九号航天员乘","4","3"
"财政部长贝森","4","4"
"政部长贝森特","4","4"
"菲律宾总统小","4","4"
"律宾总统小马","4","4"
"宾总统小马可","4","4"
"日經平均股指","4","3"
"纳斯达克综合","4","4"
"斯达克综合指","4","4"
"达克综合指数","4","4"
"据网络平台数","4","4"
"网络平台数据","4","4"
"中心使用長征","4","4"
"寫入政府工作","4","3"
"入政府工作報","4","3"
"接受中新社記","4","4"
"受中新社記者","4","4"
"社記者採訪時","4","4"
"利用人工智能","4","4"
"首个人形机器","4","4"
"个人形机器人","4","4"
"形机器人半程","4","3"
"机器人半程马","4","3"
"器人半程马拉","4","3"
"人半程马拉松","4","3"
"特朗普的贸易","4","4"
"政府工作报告","4","4"
"全國政協十四","4","4"
"國政協十四屆","4","4"
"在北京人民大","4","4"
"北京人民大會","4","4"
"京人民大會堂","4","4"
"美国加征关税","4","4"
"中国输美商品","4","4"
"商品加征关税","4","4"
"国茶饮品牌蜜","4","4"
"茶饮品牌蜜雪","4","4"
"饮品牌蜜雪冰","4","4"
"品牌蜜雪冰城","4","4"
"乌克兰战争的","4","4"
"总统特朗普发","4","4"
"美国苹果公司","4","4"
"中国进口商品","4","4"
"工程辦公室消","4","4"
"程辦公室消息","4","4"
"从事间谍活动","4","4"
"搜索引擎巨头","4","4"
"索引擎巨头百","4","4"
"一代人工智能","4","4"
"个国家和地区","4","4"
"美国证券交易","4","4"
"国证券交易委","4","4"
"证券交易委员","4","4"
"券交易委员会","4","4"
"美国关税政策","4","4"
"中国媒体报道","4","4"
"晶片巨头英伟","4","4"
"哈尔滨冰雪大","4","4"
"尔滨冰雪大世","4","4"
"滨冰雪大世界","4","4"
"全球人工智能","4","4"
"阿里巴巴集团","4","4"
"周五下班去中","4","4"
"从入门到精通","4","4"
"俄羅斯總統普","4","3"
"羅斯總統普京","4","3"
"美国科技公司","4","4"
"视觉语言模型","4","4"
"特朗普星期六","4","4"
"經濟增長預期","4","3"
"对中国加征的","4","4"
"中國商務部新","4","4"
"國商務部新聞","4","4"
"国汽车制造商","4","4"
"该公司的估值","4","4"
"在中国人工智","4","4"
"特朗普对中国","4","4"
"中國傳統文化","4","4"
"对等关税计划","4","4"
"经济增长预期","4","4"
"社交平台发文","4","4"
"世界卫生组织","4","4"
"紐約聯合國總","4","4"
"約聯合國總部","4","4"
"成為首部進入","4","3"
"為首部進入全","4","3"
"首部進入全球","4","3"
"進入全球影史","4","3"
"國家移民管理","4","4"
"驻菲律宾大使","4","4"
"特朗普政府推","4","4"
"开发的人工智","4","4"
"发的人工智能","4","4"
"中共总书记习","4","4"
"共总书记习近","4","4"
"总书记习近平","4","4"
"打擊網賭電詐","4","3"
"民營企業座談","4","3"
"營企業座談會","4","3"
"民營經濟發展","4","3"
"中共中央總書","4","3"
"共中央總書記","4","3"
"美国政府效率","4","4"
"国政府效率部","4","4"
"交部發言人郭","4","4"
"部發言人郭嘉","4","4"
"發言人郭嘉昆","4","4"
"新创公司深度","4","4"
"新加坡时间星","4","3"
"加坡时间星期","4","3"
"國際貨幣基金","4","3"
"際貨幣基金組","4","3"
"貨幣基金組織","4","3"
"美国国家安全","4","4"
"国家安全顾问","4","4"
"中国影史票房","4","4"
"生成式人工智","4","4"
"成式人工智能","4","4"
"椭圆形办公室","4","4"
"累計發送旅客","4","3"
"發送旅客突破","4","3"
"國國家鐵路集","4","4"
"國家鐵路集團","4","4"
"家鐵路集團有","4","4"
"鐵路集團有限","4","4"
"路集團有限公","4","4"
"鐵路發送旅客","4","4"
"福建省莆田市","4","4"
"特朗普宣誓就","4","4"
"以来的最低水","4","4"
"来的最低水平","4","4"
"美国亚利桑那","4","4"
"国亚利桑那州","4","4"
"总统特朗普再","4","4"
"美联储主席鲍","4","4"
"联储主席鲍威","4","4"
"储主席鲍威尔","4","4"
"知情人士的话","4","4"
"种打开方式之","4","4"
"新闻发布会上","4","4"
"总统特朗普称","4","4"
"中国互联网巨","4","4"
"美国副总统万","4","4"
"国副总统万斯","4","4"
"收购美国钢铁","4","4"
"农历新年期间","4","4"
"中國全國鐵路","4","3"
"普签署行政令","4","4"
"特朗普的政策","4","4"
"文化和旅游部","4","3"
"中国电商平台","4","4"
"中国企业深度","4","4"
"国企业深度求","4","4"
"总统特朗普已","4","4"
"申遺成功後的","4","4"
"遺成功後的首","4","4"
"成功後的首個","4","4"
"新加坡国立大","4","4"
"加坡国立大学","4","4"
"送上新春祝福","4","4"
"人工智能巨头","4","4"
"全球经济增长","4","4"
"对中国人工智","4","4"
"技巨头苹果公","4","4"
"巨头苹果公司","4","4"
"军黑鹰直升机","4","4"
"总统特朗普提","4","4"
"自动驾驶汽车","4","4"
"民族最重要的","4","4"
"作为中华大地","4","4"
"为中华大地上","4","4"
"中华大地上最","4","4"
"华大地上最具","4","4"
"涵盖了中华民","4","4"
"盖了中华民族","4","4"
"了中华民族丰","4","4"
"中华民族丰富","4","4"
"华民族丰富多","4","4"
"民族丰富多彩","4","4"
"族丰富多彩的","4","4"
"丰富多彩的非","4","4"
"富多彩的非遗","4","4"
"多彩的非遗实","4","4"
"彩的非遗实践","4","4"
"项国家级非遗","4","4"
"国家级非遗代","4","4"
"家级非遗代表","4","4"
"级非遗代表性","4","4"
"非遗代表性项","4","4"
"遗代表性项目","4","4"
"代表性项目中","4","4"
"有众多都与春","4","4"
"众多都与春节","4","4"
"多都与春节密","4","4"
"都与春节密不","4","4"
"与春节密不可","4","4"
"春节密不可分","4","4"
"联合国秘书长","4","3"
"即将上任的特","4","4"
"英伟达股价暴","4","4"
"伟达股价暴跌","4","4"
"一项调查显示","4","4"
"总统特朗普签","4","4"
"统特朗普签署","4","4"
"苹果公司在中","4","3"
"果公司在中国","4","3"
"石油和天然气","4","4"
"卫星顺利进入","4","4"
"星顺利进入预","4","4"
"顺利进入预定","4","4"
"利进入预定轨","4","4"
"进入预定轨道","4","4"
"发射任务获得","4","4"
