Codepoint,Hanzi,pinyin,Frequency,Tweets,Traditional Variant,Simplified Variant,Definition
U+52A3,劣,liè,113,111,,,"bad, inferior; slightly"
U+52A8,动,dòng,10366,8146,"动,動",动,"move, happen; movement, action"
U+52A9,助,zhù,2067,1873,,,"help, aid, assist"
U+52AA,努,nǔ,680,653,,,"to exert, strive, make an effort; to pout"
U+52AB,劫,jié,59,53,,,"take by force, coerce; disaster"
U+52AC,劬,qú,1,1,,,"be diligent, toil, endeavor"
U+52B1,励,lì,267,242,"励,勵",励,strive; encourage
U+52B2,劲,jìn,573,552,勁,,"strong, unyielding, tough, power"
U+52B3,劳,láo,706,591,"劳,勞",劳,"labor, toil, do manual work"
U+52B5,劵,juàn,2,1,,,"certificate, ticket; title deeds"
U+52BC,劼,jié,3,2,,,"be discreet, prudent, cautious"
U+52BE,劾,hé,74,56,,,"examine into, impeach, charge"
U+52BF,势,shì,2636,2407,"势,勢",势,"power, force; tendency"
U+52C1,勁,jìn,122,118,,劲,"strong, unyielding, tough, powerful"
U+52C3,勃,bó,209,154,,,"suddenly, sudden, quick"
U+52C7,勇,yǒng,223,201,,,"brave, courageous, fierce"
U+52C9,勉,miǎn,32,31,,,"endeavor, make effort; urge"
U+52CB,勋,xūn,417,333,勛,,meritorious deed; merits; rank
U+52D0,勐,měng,4,4,,,imperial degree; Daoist magic
U+52D2,勒,lēi,828,666,,,"strangle, tighten"
U+52D5,動,dòng,3131,2350,,动,"move, happen; movement, action"
U+52D8,勘,kān,45,41,,,investigate; compare; collate
U+52D9,務,wù,1456,1040,,务,"affairs, business; must, should"
U+52DB,勛,xūn,29,20,,勋,meritorious deed; merits; rank
U+52DD,勝,shèng,305,252,,胜,"victory; excel, be better than"
U+52DE,勞,láo,150,119,,劳,"labor, toil, do manual work"
U+52DF,募,mù,195,169,,,"levy, raise; summon; recruit"
U+52E0,勠,lù,1,1,,,"join forces, unite"
U+52E2,勢,shì,651,566,,势,"power, force; tendency"
U+52E4,勤,qín,172,155,,,"industrious, diligent, attentive"
U+52F3,勳,xūn,75,60,,,meritorious deed; merits; rank
U+52F5,勵,lì,34,34,,励,strive; encourage
U+52F8,勸,quàn,15,15,,劝,"recommend, advise, urge"
U+52FA,勺,sháo,35,31,,,"spoon, ladle; unit of volume"
U+52FB,勻,yún,2,2,,匀,"equal, impartially, uniform, even"
U+52FE,勾,gōu,116,112,,,"hook, join, connect; entice"
U+52FF,勿,wù,80,77,,,"must not, do not; without, never"
U+5300,匀,yún,13,11,"勻,匀",匀,equal
U+5305,包,bāo,2593,2361,,,"wrap, pack, bundle; package"
U+5306,匆,cōng,27,18,,,"hastily, in haste, hurriedly"
U+5308,匈,xiōng,73,48,,,"breast, chest, thorax; clamor; the Hsiung Nu 'Huns'"
U+530D,匍,pú,2,1,,,crawl; lie prostrate
U+5310,匐,fú,2,1,,,fall prostrate; crawl
U+5315,匕,bǐ,7,5,,,"spoon, ladle; knife, dirk"
U+5316,化,huà,7320,5649,,,"change, convert, reform; -ize"
U+5317,北,běi,4732,3683,,,north; northern; northward
U+5319,匙,chí,28,21,,,spoon; surname
U+531D,匝,zā,2,1,,,full circle; encircle
U+5320,匠,jiàng,74,67,,,"craftsman, artisan; workman"
U+5321,匡,kuāng,4,4,,,"correct, restore, revise"
