Codepoint,Hanzi,pinyin,Frequency,Tweets,Traditional Variant,Simplified Variant,Definition
U+57DF,域,yù,2567,2266,,,"district, region, boundary; land"
U+57E0,埠,bù,13,12,,,port city
U+57ED,埭,dài,3,2,,,"a dam, a jock; inclined plane on a canal, where boats can be hauled up or down"
U+57F7,執,zhí,298,234,,执,hold in hand; keep; carry out
U+57F8,埸,yì,3,2,,,a border; a limit; a dike; a frontier; a boundary
U+57F9,培,péi,335,296,,,bank up with dirt; cultivate
U+57FA,基,jī,3958,3239,,,"foundation, base"
U+57FC,埼,qí,26,24,,,headland
U+5800,堀,kū,9,9,,,"cave, hole"
U+5802,堂,táng,600,478,,,hall; government office
U+5803,堃,kūn,2,2,,,compliance; obedience; female
U+5805,堅,jiān,295,256,,坚,"hard, strong, firm; resolute"
U+5806,堆,duī,285,208,,,"heap, pile, crowd; pile up"
U+580A,堊,è,4,2,,垩,white earth; to daub with white mud
U+5811,堑,qiàn,4,4,塹,,"moat, trench, pit, cavity"
U+5815,堕,duò,31,17,"堕,墮",堕,"fall, sink, let fall; degenerate"
U+5821,堡,bǎo,210,178,,,"fort, fortress; town, village"
U+5824,堤,dī tí,50,42,,,dike
U+582A,堪,kān,150,147,,,"adequately capable of, worthy of"
U+582F,堯,yáo,2,2,,尧,a legendary ancient emperor-sage
U+5830,堰,yàn,41,30,,,"dam; embankment, dike, bank"
U+5831,報,bào,907,732,,报,"report, tell, announce"
U+5834,場,chǎng,2610,1997,,场,"open space, field, market"
U+5835,堵,dǔ,140,131,,,"wall; stop, prevent; stop up"
U+583A,堺,jiè,14,8,,,person's name
U+584A,塊,kuài,78,59,,块,"piece, lump; dollar"
U+584C,塌,tā,172,147,,,"fall in ruins, collapse"
U+5851,塑,sù,344,264,,,"model in clay, sculpt; plastics"
U+5854,塔,tǎ,1004,780,,,"tower, spire, tall building"
U+5857,塗,tú,22,13,,涂,"smear, daub, apply, spread; paint"
U+5858,塘,táng,142,113,,,"pond; tank; dike, embankment"
U+5859,塙,què,1,1,,,truly
U+585A,塚,zhǒng,20,15,,,"cemetery; tomb, burial mound"
U+585E,塞,sāi,582,445,,,"stop up, block, seal, cork; pass, frontier; fortress"
U+5862,塢,wù,12,7,,坞,"entrenchment, bank, low wall"
U+586B,填,tián,111,102,,,"fill in, fill up; make good"
U+586C,塬,yuán,1,1,,,plateau
U+5875,塵,chén,10,10,,尘,"dust, dirt, ashes, cinders"
U+5879,塹,qiàn,2,2,,堑,"moat, trench, pit, cavity"
U+587E,塾,shú,5,4,,,village school; private tutorage
U+5883,境,jìng,3116,2444,,,"boundary, frontier; area, region"
U+5885,墅,shù,12,11,,,"villa, country house"
U+588A,墊,diàn,9,9,,垫,"advance money, pay for another"
U+5893,墓,mù,98,76,,,"grave, tomb"
U+5897,増,zēng,2,2,,,increase
U+5898,墘,qián,1,1,,,(Cant.) halfway
U+5899,墙,qiáng,142,121,"墻,牆",,wall
U+589C,墜,zhuì,33,23,,坠,"fall down, drop, sink, go to ruin"
U+589E,增,zēng,9160,6337,,,"increase, add to, augment"
U+589F,墟,xū,36,29,,,high mound; hilly countryside; wasteland
U+58A8,墨,mò,567,414,,,ink; writing
U+58A9,墩,dūn,44,24,,,"heap, mound, block of stone"
U+58B3,墳,fén,2,2,,坟,"grave, mound; bulge; bulging"
U+58BB,墻,qiáng,6,3,,墙,wall
U+58BE,墾,kěn,6,5,,垦,"cultivate, reclaim, to farm land"
U+58C1,壁,bì,289,248,,,"partition wall; walls of a house; 14th lunar mansion, determinative star γ Pegasi (Algenib)"
U+58C7,壇,tán,251,182,,坛,"altar; arena, examination hall"
U+58D1,壑,hè,11,11,,,"bed of torrent, narrow ravine"
U+58D3,壓,yā,256,223,,压,press; oppress; crush; pressure
U+58D8,壘,lěi,34,28,,垒,"rampart, military wall"
U+58DE,壞,huài,66,64,,坏,"bad, spoil(ed), ruin, destroy"
U+58DF,壟,lǒng,28,24,,垄,"grave, mound; ridge in field"
U+58E4,壤,rǎng,137,101,,,"soil, loam, earth; rich"
U+58E9,壩,bà,50,30,,坝,embankment; dam
U+58EB,士,shì,3706,3034,,,"scholar, gentleman; soldier"
U+58EC,壬,rén,6,6,,,ninth heavenly stem
U+58EE,壮,zhuàng,233,215,"壮,壯",壮,"big, large; robust; name of tribe"
U+58EF,壯,zhuàng,158,131,,壮,"big, large; robust; name of tribe"
U+58F0,声,shēng,1178,1049,"声,聲",声,"sound, voice, noise; tone; music"
U+58F3,壳,ké,100,82,"壳,殻,殼",壳,"casing, shell, husk"
U+58F6,壶,hú,51,34,壺,,"jar, pot, jug, vase; surname"
U+58F9,壹,yī,15,12,,,number one
U+58FA,壺,hú,30,18,,壶,"jar, pot, jug, vase; surname"
U+58FD,壽,shòu,95,54,,寿,"old age, long life; lifespan"
U+5904,处,chù,2135,1875,處,,"place, locale; department"
U+5907,备,bèi,2743,2372,備,,"prepare, ready, perfect"
U+590D,复,fù,2274,1990,"复,復,複,覆",复,return; repeat; repeatedly
U+590F,夏,xià,1222,894,,,"summer; great, grand, big"
U+5915,夕,xī,310,278,,,"evening, night, dusk; slanted"
U+5916,外,wài,8867,6946,,,"out, outside, external; foreign"
U+5919,夙,sù,1,1,,,"early in morning, dawn; previous"
U+591A,多,duō,11254,9596,,,"much, many; more than, over"
U+591C,夜,yè,953,785,,,"night, dark; in night; by night"
U+591F,够,gòu,639,614,"够,夠",够,"enough, adequate"
U+5920,夠,gòu,103,96,,够,"enough, adequate"
U+5922,夢,mèng,203,153,,梦,dream; visionary; wishful
U+5925,夥,huǒ,89,79,夥,"伙,夥",companion; partner; assistant
U+5927,大,dà,28115,20263,,,"big, great, vast, large, high"
U+5929,天,tiān,9266,7303,,,"sky, heaven; god, celestial"
U+592A,太,tài,2324,1913,,,"very, too, much; big; extreme"
U+592B,夫,fū,856,666,,,"man, male adult, husband; those"
U+592D,夭,yāo,5,3,,,"young, fresh-looking; die young"
U+592E,央,yāng,1574,1224,,,"center, conclude, run out; beg"
U+592F,夯,hāng,15,15,,,"heavy load, burden; lift up"
U+5931,失,shī,1861,1671,,,"lose; make mistake, neglect"
U+5934,头,tóu,3177,2898,"头,頭",头,"head; top; chief, first; boss"
U+5937,夷,yí,90,71,,,ancient barbarian tribes
U+5938,夸,kuā,69,65,"夸,誇",夸,"extravagant, luxurious; handsome"
U+5939,夹,jiā,81,75,夾,,be wedged or inserted between
U+593A,夺,duó,475,436,奪,,"take by force, rob, snatch"
U+593C,夼,kuǎng,2,1,,,"low or swampy land, most often used in place names"
U+593E,夾,jiā,13,11,,夹,be wedged or inserted between
U+5942,奂,huàn,4,4,奐,,"be numerous, brilliant"
U+5944,奄,yǎn,14,9,,,"ere long; remain, tarry; feeble"
U+5947,奇,qí,1104,1014,,,"strange, unusual, uncanny, occult"
U+5948,奈,nài,216,166,,,"but, how; bear, stand, endure"
U+5949,奉,fèng,73,64,,,offer; receive; serve; respect
U+594B,奋,fèn,143,136,奮,,"strive, exert effort; arouse"
U+594E,奎,kuí,22,19,,,"stride of man; 15th lunar mansion, determinative star η Andromedae"
U+594F,奏,zòu,177,163,,,memorialize emperor; report
U+5950,奐,huàn,4,4,,奂,"be numerous, brilliant"
U+5951,契,qì,171,158,,,"deed, contract, bond; engrave"
U+5954,奔,bēn,355,323,,,"run fast, flee; rush about; run"
U+5955,奕,yì,32,31,,,"in sequence, orderly; abundant"
U+5956,奖,jiǎng,517,363,"奬,獎",,"prize, reward; give award to"
U+5957,套,tào,530,446,,,"case, cover, wrapper, envelope"
U+5958,奘,zàng,9,6,,,"large, powerful, stout, thick"
U+595A,奚,xī,1,1,,,where? what? how? why?; servant
U+5960,奠,diàn,76,75,,,pay respect; settle
U+5962,奢,shē,173,140,,,"extravagant, wasteful; exaggerate"
U+5965,奥,ào,1383,952,奧,,"mysterious, obscure, profound"
U+5967,奧,ào,481,273,,奥,"mysterious, obscure, profound"
U+596A,奪,duó,190,157,,夺,"take by force, rob, snatch"
U+596E,奮,fèn,68,59,,奋,"strive, exert effort; arouse"
U+5973,女,nǚ,2120,1553,,,"woman, girl; feminine; Kangxi radical 38; 10th lunar mansion, determinative star ε Aquarii (Albali)"
U+5974,奴,nú,18,15,,,"slave, servant"
U+5976,奶,nǎi,357,204,,,milk; woman's breasts; nurse
U+5978,奸,jiān,12,10,"奸,姦",奸,"crafty, villainous, false"
U+5979,她,tā,1176,840,,,"she, her"
U+597C,奼,chà,1,1,,姹,"beautiful, colorful; girl"
U+597D,好,hǎo,4059,3553,,,"good, excellent, fine; well"
U+5982,如,rú,5443,4880,,,"if, supposing; as if; like, as"
U+5983,妃,fēi,10,9,,,"wife, spouse; imperial concubine"
U+5984,妄,wàng,26,23,,,"absurd, foolish, reckless; false"
U+5986,妆,zhuāng,113,79,妝,,"to adorn oneself, dress up, use make-up"
U+5987,妇,fù,150,125,婦,,married women; woman; wife
U+5988,妈,mā,259,112,媽,,"mother, mama"
U+598A,妊,rèn,2,2,,,"conceive, be pregnant"
U+598D,妍,yán,5,4,,,"beautiful, handsome; seductive"
U+5992,妒,dù,7,7,,,"jealous, envious"
U+5993,妓,jì,5,2,,,prostitute
U+5996,妖,yāo,19,17,,,"strange, weird, supernatural"
U+5997,妗,jìn,11,11,,,wife of mother's brother
U+5999,妙,miào,209,194,,,"mysterious, subtle; exquisite"
U+599D,妝,zhuāng,13,10,,妆,"to adorn oneself, dress up, use make-up"
U+599E,妞,niū,2,2,,,girl
U+59A4,妤,yú,6,4,,,"beautiful, fair, handsome"
U+59A5,妥,tuǒ,121,112,,,"satisfactory, appropriate"
U+59A8,妨,fáng,55,53,,,"interfere with, impede, obstruct"
U+59AA,妪,yù,2,1,嫗,,"old woman, hag"
U+59AE,妮,nī,65,49,,,"maid, servant girl; cute girl"
U+59B2,妲,dá,1,1,,,concubine of last ruler of the Shang dynasty
U+59B3,妳,nǎi,2,2,,,you (female)
U+59B9,妹,mèi,89,64,,,younger sister
U+59BB,妻,qī,134,110,,,wife
U+59C6,姆,mǔ,430,351,,,child's governess; matron
U+59CA,姊,zǐ,4,2,,,elder sister
U+59CB,始,shǐ,3048,2870,,,"begin, start; then, only then"
U+59CD,姍,shān,3,2,,姗,slander; ridicule; proceed slowly
U+59D0,姐,jiě,142,102,,,"elder sister, young lady"
U+59D1,姑,gū,94,74,,,father's sister; husband's mother
U+59D3,姓,xìng,146,125,,,"one's family name; clan, people"
U+59D4,委,wěi,1664,1298,,,"appoint, send, commission"
U+59D7,姗,shān,4,2,"姍,姗",姗,slander; ridicule; proceed slowly
U+59DA,姚,yáo,48,34,,,"handsome, elegant; surname"
U+59DC,姜,jiāng,51,38,"姜,薑",姜,surname; ginger
U+59DD,姝,shū,3,3,,,a beautiful girl
U+59E3,姣,jiāo,1,1,,,"beautiful, handsome, pretty"
U+59E5,姥,lǎo,12,7,,,maternal grandmother; midwife
U+59E8,姨,yí,34,25,,,mother/wife's sister; concubine
U+59EA,姪,zhí,3,1,,,brother's child
U+59EC,姬,jī,20,16,,,beauty; imperial concubine
U+59F9,姹,chà,1,1,"奼,姹",姹,"beautiful, colorful; girl"
U+59FB,姻,yīn,41,33,,,relatives by marriage
U+59FF,姿,zī,239,213,,,"one's manner, carriage, bearing"
U+5A01,威,wēi,1560,1343,,,"pomp, power; powerful; dominate"
U+5A03,娃,wá,388,321,,,baby; doll; pretty girl
U+5A04,娄,lóu,3,3,"娄,婁",娄,surname; a constellation; to wear
U+5A05,娅,yà,19,15,婭,,mutual term of address used by sons-in-law; a brother-in-law
U+5A06,娆,ráo,2,2,嬈,,"graceful, charming, fascinating"
U+5A07,娇,jiāo,14,14,"娇,嬌",娇,seductive and loveable; tender
U+5A11,娑,suō,1,1,,,"dance, frolic; lounge; saunter"
U+5A13,娓,wěi,4,2,,,"comply; complying, agreeable"
U+5A18,娘,niáng,154,111,,,mother; young girl; woman; wife
U+5A1B,娛,yú,27,21,,娱,"pleasure, enjoyment, amusement"
U+5A1C,娜,nà,135,116,,,"elegant, graceful, delicate"
U+5A1F,娟,juān,14,13,,,"beautiful, graceful"
U+5A20,娠,shēn,2,2,,,pregnant
U+5A23,娣,dì,6,6,,,"younger sister, sister-in-law"
U+5A25,娥,é,128,81,,,be beautiful; good; surname
U+5A29,娩,miǎn,6,6,,,give birth child; complaisant
U+5A31,娱,yú,127,117,"娛,娱",娱,"pleasure, enjoyment, amusement"
U+5A32,娲,wā,2,2,媧,,"a goddess, the mythological sister and successor to Fuxi"
U+5A34,娴,xián,19,19,嫻,,"elegant, refined; skillful"
U+5A36,娶,qǔ,3,3,,,"marry, take wife"
U+5A3C,娼,chāng,1,1,,,"prostitute, harlot"
U+5A40,婀,ē,1,1,,,"be beautiful, be graceful"
U+5A41,婁,lóu,3,3,,娄,"surname; to wear; 16th lunar mansion, determinative star β Arietis (Sheratan)"
U+5A46,婆,pó,62,42,,,old woman; grandmother
U+5A49,婉,wǎn,29,28,,,"amiable, congenial; restrained"
U+5A5A,婚,hūn,343,204,,,"get married; marriage, wedding"
U+5A5E,婞,xìng,3,2,,,hate
U+5A61,婡,lái,1,1,,𫝫,
U+5A66,婦,fù,60,44,,妇,married women; woman; wife
U+5A67,婧,jìng,16,16,,,modest; supple
U+5A6A,婪,lán,10,10,,,"covet; covetous, avaricious"
U+5A6D,婭,yà,5,5,,娅,mutual term of address used by sons-in-law; a brother-in-law
U+5A74,婴,yīng,98,71,嬰,,"baby, infant; bother"
U+5A75,婵,chán,36,27,嬋,,"beautiful, lovely, pretty, graceful"
U+5A77,婷,tíng,21,16,,,pretty; attractive; graceful
U+5A7A,婺,wù,22,16,,,"a river and county in Jiāngxī; ancient name for 女宿, one of the 28 lunar mansions; used in various star names in Aquarius"
U+5A7F,婿,xù,16,13,,,son-in-law; husband
U+5A92,媒,méi,1828,1663,,,"go-between, matchmaker; medium"
U+5A9A,媚,mèi,15,15,,,"charming, attractive; flatter"
U+5A9B,媛,yuàn,45,31,,,"beauty, beautiful woman"
U+5AA7,媧,wā,1,1,,娲,mythological snail goddess
U+5AB2,媲,pì,19,19,,,"marry off, pair, match; compare"
U+5AB3,媳,xí,10,9,,,daughter-in-law
U+5ABD,媽,mā,205,83,,妈,"mother, mama"
U+5AC1,嫁,jià,67,61,,,"to marry, give a daughter in marriage"
U+5AC2,嫂,sǎo,7,7,,,"sister-in-law, elder brother's wife"
U+5AC9,嫉,jí,9,9,,,jealousy; be jealous of
U+5ACC,嫌,xián,402,354,,,"hate, detest; suspect; criticize"
U+5AD6,嫖,piáo,4,4,,,"patronize prostitutes, frequent"
U+5AE1,嫡,dí,2,2,,,"legal wife, child of legal wife"
U+5AE3,嫣,yān,8,6,,,"charming, fascinating; gay"
U+5AE6,嫦,cháng,117,71,,,name of a moon goddess
U+5AE9,嫩,nèn,190,152,,,"soft, tender, delicate; young"
U+5AF2,嫲,mā,2,2,,,(Cant.) paternal grandmother
U+5AFB,嫻,xián,4,4,,娴,"elegant, refined; skillful"
U+5B08,嬈,ráo,2,1,,娆,"graceful, charming, fascinating"
U+5B09,嬉,xī,44,41,,,"enjoy; play, amuse oneself"
U+5B0B,嬋,chán,19,12,,婵,"beautiful, lovely, pretty, graceful"
U+5B0C,嬌,jiāo,13,12,,娇,seductive and loveable; tender
U+5B1B,嬛,huán,4,2,,,"apt, clever; sycophant, flatterer"
U+5B24,嬤,mā,16,9,,嬷,mother
U+5B30,嬰,yīng,8,6,,婴,"baby, infant; bother"
U+5B37,嬷,mó,42,33,嬤,,mother
U+5B40,孀,shuāng,3,3,,,widow
U+5B50,子,zǐ,5106,3980,,,"offspring, child; fruit, seed of; first earthly branch"
U+5B54,孔,kǒng,169,120,,,"opening, hole, orifice; great"
U+5B55,孕,yùn,81,65,,,be pregnant; pregnancy
U+5B57,字,zì,1935,1399,,,"letter, character, word"
U+5B58,存,cún,2502,2075,,,"exist, live, be; survive; remain"
U+5B59,孙,sūn,199,148,"孙,孫",孙,"grandchild, descendent; surname"
U+5B5A,孚,fú,33,31,,,brood over eggs; have confidence
U+5B5B,孛,bèi,2,1,,,comet
U+5B5C,孜,zī,55,41,,,be as diligent as possible
U+5B5D,孝,xiào,39,29,,,"filial piety, obedience; mourning"
U+5B5F,孟,mèng,164,114,,,"first in series; great, eminent"
U+5B62,孢,bāo,10,8,,,spore
U+5B63,季,jì,2766,2244,,,quarter of year; season; surname
U+5B64,孤,gū,97,83,,,"orphan, fatherless; solitary"
U+5B66,学,xué,4820,3170,學,,"learning, knowledge; school"
U+5B69,孩,hái,876,715,,,"baby, child; children"
U+5B6A,孪,luán,1,1,"孪,孿",孪,twins
U+5B6B,孫,sūn,127,82,,孙,"grandchild, descendent; surname"
U+5B70,孰,shú,3,2,,,who? which? what? which one?
U+5B73,孳,zī,1,1,,,breed in large numbers
U+5B75,孵,fū,21,20,,,"sit on eggs, hatch"
U+5B78,學,xué,1832,1032,,学,"learning, knowledge; school"
U+5B7A,孺,rú,2,2,,,child; blood relation; affection
U+5B7F,孿,luán,2,2,,孪,twins
U+5B80,宀,mián,1,1,,,roof; Kangxi radical 40
U+5B81,宁,níng,412,343,"宁,寧",宁,"calm, peaceful, serene; healthy"
U+5B83,它,tā,1733,1562,,,it; other
U+5B85,宅,zhái,320,246,,,"residence, dwelling, home; grave"
U+5B87,宇,yǔ,442,356,,,"house; building, structure; eaves"
U+5B88,守,shǒu,521,479,,,"defend, protect, guard, conserve"
U+5B89,安,ān,5043,4000,,,"peaceful, tranquil, quiet"
U+5B8B,宋,sòng,177,141,,,Song dynasty; surname
U+5B8C,完,wán,2135,1925,,,"complete, finish, settle; whole"
U+5B8F,宏,hóng,282,259,,,"wide, spacious, great, vast"
U+5B95,宕,dàng,27,26,,,stone quarry; cave dwelling
U+5B97,宗,zōng,476,386,,,"lineage, ancestry; ancestor, clan"
U+5B98,官,guān,2872,2603,,,"official, public servant"
U+5B99,宙,zhòu,221,173,,,time as concept; infinite time
U+5B9A,定,dìng,5957,5243,,,"decide, settle, fix"
U+5B9B,宛,wǎn,232,195,,,"seem, as if, crooked"
U+5B9C,宜,yí,534,464,,,"suitable, right, fitting, proper"
U+5B9D,宝,bǎo,727,522,"宝,寶",宝,"treasure, jewel; precious, rare"
U+5B9E,实,shí,4817,4270,"实,實",实,"real, true; honest, sincere"
U+5B9F,実,shí,1,1,,,"real, true; honest, sincere"
U+5BA0,宠,chǒng,121,96,寵,,"favorite, concubine; favor"
U+5BA1,审,shěn,573,510,審,,"examine, investigate; judge"
U+5BA2,客,kè,4183,3030,,,"guest, traveller; customer"
U+5BA3,宣,xuān,2746,2597,,,"declare, announce, proclaim"
U+5BA4,室,shì,810,720,,,"room, home, house, chamber; 13th lunar mansion, determinative star α Pegasi (Markab)"
U+5BA5,宥,yòu,1,1,,,"forgive, pardon, indulge"
U+5BA6,宦,huàn,1,1,,,"officialdom, government official"
U+5BAA,宪,xiàn,136,111,憲,,"constitution, statute, law"
U+5BAB,宫,gōng,628,495,宮,,palace
U+5BAE,宮,gōng,181,131,,宫,"palace, temple, dwelling, enclose"
U+5BB0,宰,zǎi,14,14,,,to slaughter; to rule
U+5BB3,害,hài,785,728,,,"injure, harm; destroy, kill"
U+5BB4,宴,yàn,223,185,,,"to entertain, feast; a feast, banquet"
U+5BB5,宵,xiāo,161,104,,,"night, evening, dark"
U+5BB6,家,jiā,15106,11970,"傢,家",家,"house, home, residence; family"
U+5BB8,宸,chén,1,1,,,imperial; imperial palace
U+5BB9,容,róng,1557,1378,,,"looks, appearance; figure, form"
U+5BBD,宽,kuān,511,476,寬,,"broad, wide; spacious, vast"
U+5BBE,宾,bīn,1537,1048,"宾,賓",宾,"guest, visitor; surname; submit"
U+5BBF,宿,sù,243,187,,,"stop, rest, lodge, stay overnight; constellation"
U+5BC2,寂,jì,30,27,,,"still, silent, quiet; desolate"
U+5BC4,寄,jì,158,140,,,"send, transmit, mail; rely on"
U+5BC5,寅,yín,18,15,,,"to respect, reverence; respectfully; third earthly branch"
U+5BC6,密,mì,1796,1485,,,"dense, thick, close; intimate"
U+5BC7,寇,kòu,18,14,,,"bandits, thieves; enemy; invade"
U+5BCC,富,fù,1680,1332,,,"abundant, ample; rich, wealthy"
U+5BD0,寐,mèi,8,8,,,sleep; be asleep
U+5BD2,寒,hán,309,251,,,"cold, wintry, chilly"
U+5BD3,寓,yù,122,111,,,residence; lodge; dwell
U+5BDD,寝,qǐn,4,4,寢,,"sleep, rest; bed chamber"
U+5BDE,寞,mò,3,3,,,"silent, still, lonely, solitary"
U+5BDF,察,chá,800,682,,,"examine, investigate; notice"
U+5BE1,寡,guǎ,27,25,,,"widowed; alone, friendless"
U+5BE2,寢,qǐn,2,2,,寝,"sleep, rest; bed chamber"
U+5BE5,寥,liáo,19,10,,,"few, scarce; empty, deserted"
U+5BE6,實,shí,1621,1342,,实,"real, true, solid, honest"
U+5BE7,寧,níng,343,250,,宁,"repose, serenity, peace; peaceful"
U+5BE8,寨,zhài,313,211,,,"stockade, stronghold, outpost; brothel"
U+5BE9,審,shěn,97,81,,审,"examine, investigate; judge"
U+5BEB,寫,xiě,159,141,,写,"write; draw, sketch; compose"
U+5BEC,寬,kuān,146,129,,宽,"broad, wide; spacious, vast"
U+5BEE,寮,liáo,10,9,,,"shanty, hut, shack"
U+5BF0,寰,huán,4,4,,,"great domain, country, world"
U+5BF5,寵,chǒng,66,31,,宠,"favorite, concubine; favor"
U+5BF6,寶,bǎo,345,224,,宝,"treasure, jewel; precious, rare"
U+5BF8,寸,cùn,182,151,,,"inch; small, tiny; Kangxi radical 41"
U+5BF9,对,duì,13785,11003,"对,對",对,"correct, right; facing, opposed"
U+5BFA,寺,sì,195,127,,,"court, office; temple, monastery"
U+5BFB,寻,xún,819,793,尋,,"seek, search, look for; ancient"
U+5BFC,导,dǎo,5125,4056,導,,"direct, guide, lead, conduct"
U+5BFF,寿,shòu,204,135,"壽,寿",寿,"old age, long life; lifespan"
U+5C01,封,fēng,980,823,,,"letter, envelope; feudal; one pound"
U+5C04,射,shè,1382,842,,,"shoot, eject, issue forth, emit"
U+5C06,将,jiāng,13454,10781,將,,"will, going to, future; general"
U+5C07,將,jiāng,3473,2517,,将,"will, going to, future; general"
U+5C08,專,zhuān,585,483,,专,"monopolize, take sole possession"
U+5C09,尉,wèi,16,13,,,"officer, military rank"
U+5C0A,尊,zūn,186,174,,,"respect, revere, venerate; honor"
U+5C0B,尋,xún,159,143,,寻,"seek, search, look for; ancient"
U+5C0D,對,duì,3350,2377,,对,"correct, right; facing, opposed"
U+5C0E,導,dǎo,1325,911,,导,"direct, guide, lead, conduct"
U+5C0F,小,xiǎo,5942,4634,,,"small, tiny, insignificant"
U+5C11,少,shǎo,3940,3426,,,"few, less, inadequate"
U+5C14,尔,ěr,3967,3176,"尔,爾",尔,"you; that, those; final particle"
U+5C15,尕,gǎ,9,5,,,small (used in place names)
U+5C16,尖,jiān,461,411,,,"sharp, pointed, acute, keen"
U+5C18,尘,chén,95,74,塵,,"dust, dirt, ashes, cinders"
U+5C1A,尚,shàng,618,571,,,"still, yet; even; fairly, rather"
U+5C1C,尜,gá,1,1,,,a child toy
U+5C1D,尝,cháng,259,236,"嘗,尝",尝,"taste; experience, experiment"
U+5C24,尤,yóu,462,453,,,"especially, particularly"
U+5C27,尧,yáo,6,6,堯,,a legendary ancient emperor-sage
U+5C2C,尬,gà,31,30,,,"limp, staggering gait; embarrass"
U+5C31,就,jiù,5334,4776,,,"just, simply; to come, go to; to approach, near"
U+5C34,尴,gān,27,27,尷,,embarrassed; ill at ease
U+5C37,尷,gān,3,3,,尴,embarrassed; ill at ease
U+5C38,尸,shī,32,29,"尸,屍",尸,corpse; to impersonate the dead; to preside; Kangxi radical 44
U+5C39,尹,yǐn,204,150,,,govern; oversee; director
U+5C3A,尺,chǐ,159,146,,,Chinese measure approx. 'foot'
U+5C3C,尼,ní,2410,1731,,,Buddhist nun; transliteration
U+5C3D,尽,jǐn,1089,1064,"儘,尽,盡",尽,"exhaust, use up; deplete"
U+5C3E,尾,wěi,287,250,,,"tail, extremity; end, stern; 6th lunar mansion, determinative star μ¹ Scorpii (Xamidimura)"
U+5C3F,尿,niào,125,84,,,urine; urinate
U+5C40,局,jú,3724,3291,,,"bureau, office; circumstance"
U+5C41,屁,pì,15,13,,,break wind; fart; buttocks
U+5C42,层,céng,846,724,層,,"story, layer, floor, stratum"
U+5C45,居,jū,1505,1301,,,"live, dwell, reside, sit"
U+5C46,屆,jiè,549,432,,届,"numerary adjunct for time, term"
U+5C48,屈,qū,59,52,,,"bend, flex; bent, crooked; crouch"
U+5C49,屉,tì,4,4,屜,,drawer; tray; pad; screen
U+5C4A,届,jiè,618,555,"屆,届",届,"numerary adjunct for time, term"
U+5C4B,屋,wū,380,291,,,"house; room; building, shelter"
U+5C4C,屌,diǎo,1,1,,,(Cant.) obscene exclamation
U+5C4D,屍,shī,2,2,,尸,"corpse, carcass"
U+5C4E,屎,shǐ,6,5,,,"excrement, shit, dung"
U+5C4F,屏,píng,317,266,,,"folding screen, shield"
U+5C50,屐,jī,2,2,,,"wooden shoes, clogs"
U+5C51,屑,xiè,7,6,,,"bits, scraps, crumbs, fragments"
U+5C55,展,zhǎn,5472,4545,,,"open, unfold; stretch, extend"
U+5C5E,属,shǔ,941,845,"属,屬",属,"class, category, type; belong to"
U+5C60,屠,tú,114,81,,,"butcher, slaughter, massacre"
U+5C61,屡,lǚ,59,51,"屡,屢",屡,"frequently, often, again and again"
U+5C62,屢,lǚ,16,14,,屡,"frequently, often, again and again"
U+5C64,層,céng,289,221,,层,"story, layer, floor, stratum"
U+5C65,履,lǚ,132,129,,,"footwear, shoes; walk on, tread; hexagram ䷉"
U+5C6C,屬,shǔ,242,214,,属,"class, category, type; to belong to"
U+5C6F,屯,tún,19,17,,,"village, hamlet; camp; station; hexagram ䷂"
U+5C71,山,shān,4265,2785,,,"mountain, hill, peak"
U+5C79,屹,yì,10,10,,,to rise high; to stand erect
U+5C7F,屿,yǔ,66,60,嶼,,island
U+5C81,岁,suì,1323,1064,"岁,歲",岁,year; age; harvest
U+5C82,岂,qǐ,16,16,豈,,how? what?
U+5C8C,岌,jí,32,17,,,"perilous, hazardous; high, steep"
U+5C90,岐,qí,30,22,,,high; majestic; fork in road
U+5C91,岑,cén,25,20,,,"steep, precipitous; peak"
U+5C94,岔,chà,10,9,,,"diverge, branch off; fork in road"
U+5C96,岖,qū,7,7,嶇,,"steep, sheer; rugged, rough"
U+5C97,岗,gǎng,175,159,崗,,post; position
U+5C98,岘,xiàn,3,2,峴,,steep hill; mountain in Hubei
U+5C99,岙,ào,1,1,嶴,,island
U+5C9A,岚,lán,7,6,嵐,,"mountain mist, mountain haze"
U+5C9B,岛,dǎo,1440,1076,島,,island
U+5C9C,岜,bā,3,2,,,rock mountain
U+5CA1,岡,gāng,47,35,,冈,ridge or crest of hill
U+5CA9,岩,yán,300,217,,,cliff; rocks; mountain
U+5CAB,岫,xiù,3,2,,,"mountain peak; cave, cavern"
U+5CAC,岬,jiǎ,1,1,,,"cape; promontory, headland"
U+5CAD,岭,lǐng,99,85,嶺,,"mountain ridge, mountain peak"
U+5CB1,岱,dài,5,4,,,"Daishan, one of the Five Sacred Mountains in China"
U+5CB3,岳,yuè,76,50,,,mountain peak; surname
U+5CB7,岷,mín,3,3,,,"Minshan mountain range in northern Sichuan and southern Gansu, Min River"
U+5CB8,岸,àn,1436,1089,,,"bank, shore; beach, coast"
U+5CBF,岿,kuī,1,1,巋,,"grand, stately; secure, lasting"
U+5CC7,峇,bā,92,71,,,"cave, cavern"
U+5CCB,峋,xún,3,3,,,ranges of hills stretching on beyond another irregular peaks
U+5CD2,峒,dòng,3,3,,,mountain in Gansu province
