"5gram","Frequency","Total Tweets"
"总统特朗普","99","99"
"国总统特朗","91","91"
"美国总统特","90","90"
"主席習近平","81","81"
"國家主席習","66","66"
"家主席習近","66","66"
"霍尔木兹海","66","59"
"尔木兹海峡","66","59"
"外交部發言","63","63"
"交部發言人","63","63"
"中國外交部","62","57"
"美國總統特","59","55"
"國總統特朗","58","54"
"總統特朗普","58","54"
"中國國家主","55","55"
"國國家主席","55","55"
"霍爾木茲海","55","36"
"爾木茲海峽","55","36"
"首席执行官","42","41"
"進行國事訪","42","37"
"行國事訪問","42","37"
"人民大會堂","39","38"
"俄羅斯總統","37","30"
"例行記者會","35","35"
"國外交部發","35","35"
"高手在民間","34","34"
"席習近平在","32","32"
"特朗普政府","32","32"
"對中國進行","31","29"
"羅斯總統普","31","26"
"斯總統普京","31","26"
"新聞發布會","30","30"
"近平在北京","30","30"
"中國國民黨","29","22"
"北京人民大","29","29"
"創歷史新高","28","25"
"主席习近平","28","28"
"在北京人民","28","28"
"中央總書記","28","25"
"習近平在北","28","28"
"给阿嬷的情","26","24"
"阿嬷的情书","26","24"
"習近平總書","26","22"
"近平總書記","26","22"
"国家主席习","26","26"
"家主席习近","26","26"
"中國科學院","26","24"
"京人民大會","25","25"
"日發布數據","24","24"
"國進行國事","24","21"
"中国国家主","24","24"
"国国家主席","24","24"
"在例行記者","23","23"
"行記者會上","23","23"
"国人工智能","22","21"
"日在例行記","22","22"
"新聞發言人","22","19"
"人形机器人","22","18"
"知情人士透","21","21"
"情人士透露","21","21"
"人形機器人","21","12"
"日對中國進","21","21"
"共中央總書","21","21"
"国民党主席","21","20"
"平在北京人","21","21"
"十四屆全國","21","19"
"四屆全國人","21","19"
"荷姆茲海峽","20","15"
"中共中央總","20","20"
"民党主席郑","20","20"
"党主席郑丽","20","20"
"主席郑丽文","20","20"
"屆全國人大","20","18"
"全國人大四","20","18"
"國人大四次","20","18"
"人大四次會","20","18"
"大四次會議","20","18"
"自由式滑雪","20","17"
"中國進行國","19","17"
"人民共和國","18","9"
"特朗普表示","18","18"
"華進行國事","18","18"
"神舟二十三","17","12"
"國家統計局","17","15"
"中国外交部","17","16"
"外交部長王","17","17"
"交部長王毅","17","17"
"全國人大代","17","17"
"國人大代表","17","17"
"來華進行國","17","17"
"國事訪問的","17","17"
"的人工智能","16","16"
"中國共產黨","16","12"
"行新聞發布","16","16"
"国科技巨头","16","16"
"沙特阿拉伯","16","15"
"入預定軌道","16","16"
"伊朗伊斯蘭","16","12"
"冰雪大世界","16","10"
"中国人工智","15","15"
"席習近平邀","15","15"
"習近平邀請","15","15"
"中共中央政","15","15"
"共中央政治","15","15"
"中央政治局","15","15"
"央政治局委","15","15"
"政治局委員","15","15"
"得圓滿成功","15","15"
"國民黨主席","15","14"
"美國和以色","15","15"
"國和以色列","15","15"
"部發言人毛","15","15"
"發言人毛寧","15","15"
"政府工作報","15","10"
"府工作報告","15","10"
"億元人民幣","14","10"
"部發言人林","14","14"
"發言人林劍","14","14"
"芯片制造商","14","14"
"伯克希尔哈","14","14"
"克希尔哈撒","14","14"
"希尔哈撒韦","14","14"
"中國成功發","14","14"
"國成功發射","14","14"
"國家和地區","14","13"
"常駐聯合國","14","14"
"的數據顯示","14","14"
"衛星發射中","14","14"
"星發射中心","14","14"
"衛星順利進","14","14"
"星順利進入","14","14"
"順利進入預","14","14"
"利進入預定","14","14"
"進入預定軌","14","14"
"在社交媒體","14","13"
"席执行官黄","14","14"
"执行官黄仁","14","14"
"行官黄仁勋","14","14"
"航天員乘組","14","8"
"民大會堂同","14","14"
"美国和以色","14","14"
"国和以色列","14","14"
"同心會客廳","14","9"
"米蘭冬奧會","14","12"
"出入境人員","13","9"
"例行新聞發","13","13"
"美国和伊朗","13","13"
"二十四节气","13","10"
"伊朗外交部","13","12"
"中國新聞網","13","13"
"射中心使用","13","13"
"日發表聲明","13","13"
"英伟达首席","13","13"
"神舟二十一","13","10"
"舟二十一號","13","10"
"特朗普訪華","13","11"
"國國民黨主","13","12"
"入预定轨道","13","13"
"眼中的中國","13","13"
"由式滑雪女","13","11"
"式滑雪女子","13","11"
"印度尼西亚","12","12"
"布數據顯示","12","12"
"美国科技巨","12","12"
"中央軍委主","12","12"
"央軍委主席","12","12"
"軍委主席習","12","12"
"委主席習近","12","12"
"取得圓滿成","12","12"
"黨主席鄭麗","12","12"
"主席鄭麗文","12","12"
"中國商務部","12","12"
"答問時表示","12","12"
"星發射升空","12","12"
"伟达首席执","12","12"
"达首席执行","12","12"
"主持例行記","12","12"
"持例行記者","12","12"
"號航天員乘","12","7"
"特朗普访华","12","12"
"对委内瑞拉","12","11"
"进入预定轨","12","12"
"伊斯蘭革命","12","9"
"对伊朗发动","12","12"
"對伊朗發動","12","12"
"聯合國憲章","12","12"
"米兰冬奥会","12","11"
"烏拉圭總統","12","9"
"自然保护区","11","10"
"在人工智能","11","11"
"巨头英伟达","11","11"
"藏族自治州","11","11"
"新能源汽車","11","8"
"部發言人宣","11","11"
