"6gram","Frequency","Total Tweets"
"国总统特朗普","91","91"
"美国总统特朗","90","90"
"國家主席習近","66","66"
"家主席習近平","66","66"
"霍尔木兹海峡","66","59"
"外交部發言人","63","63"
"美國總統特朗","58","54"
"國總統特朗普","57","53"
"中國國家主席","55","55"
"國國家主席習","55","55"
"霍爾木茲海峽","55","36"
"進行國事訪問","42","37"
"中國外交部發","35","35"
"國外交部發言","35","35"
"主席習近平在","32","32"
"俄羅斯總統普","31","26"
"羅斯總統普京","31","26"
"在北京人民大","28","28"
"習近平在北京","28","28"
"席習近平在北","27","27"
"给阿嬷的情书","26","24"
"習近平總書記","26","22"
"国家主席习近","26","26"
"家主席习近平","26","26"
"北京人民大會","25","25"
"京人民大會堂","25","25"
"國進行國事訪","24","21"
"中国国家主席","24","24"
"国国家主席习","24","24"
"在例行記者會","23","23"
"例行記者會上","23","23"
"日在例行記者","22","22"
"知情人士透露","21","21"
"日對中國進行","21","21"
"共中央總書記","21","21"
"近平在北京人","21","21"
"平在北京人民","21","21"
"十四屆全國人","21","19"
"中共中央總書","20","20"
"国民党主席郑","20","20"
"民党主席郑丽","20","20"
"党主席郑丽文","20","20"
"四屆全國人大","20","18"
"屆全國人大四","20","18"
"全國人大四次","20","18"
"國人大四次會","20","18"
"人大四次會議","20","18"
"中國進行國事","19","17"
"對中國進行國","18","16"
"華進行國事訪","18","18"
"外交部長王毅","17","17"
"全國人大代表","17","17"
"來華進行國事","17","17"
"行國事訪問的","17","17"
"行新聞發布會","16","16"
"中国人工智能","15","15"
"主席習近平邀","15","15"
"席習近平邀請","15","15"
"中共中央政治","15","15"
"共中央政治局","15","15"
"中央政治局委","15","15"
"央政治局委員","15","15"
"美國和以色列","15","15"
"交部發言人毛","15","15"
"部發言人毛寧","15","15"
"政府工作報告","15","10"
"交部發言人林","14","14"
"部發言人林劍","14","14"
"伯克希尔哈撒","14","14"
"克希尔哈撒韦","14","14"
"中國成功發射","14","14"
"衛星發射中心","14","14"
"衛星順利進入","14","14"
"星順利進入預","14","14"
"順利進入預定","14","14"
"利進入預定軌","14","14"
"進入預定軌道","14","14"
"首席执行官黄","14","14"
"席执行官黄仁","14","14"
"执行官黄仁勋","14","14"
"人民大會堂同","14","14"
"美国和以色列","14","14"
"例行新聞發布","13","13"
"神舟二十一號","13","10"
"中國國民黨主","13","12"
"國國民黨主席","13","12"
"自由式滑雪女","13","11"
"由式滑雪女子","13","11"
"中央軍委主席","12","12"
"央軍委主席習","12","12"
"軍委主席習近","12","12"
"委主席習近平","12","12"
"取得圓滿成功","12","12"
"黨主席鄭麗文","12","12"
"英伟达首席执","12","12"
"伟达首席执行","12","12"
"达首席执行官","12","12"
"主持例行記者","12","12"
"持例行記者會","12","12"
"號航天員乘組","12","7"
"进入预定轨道","12","12"
"交部發言人宣","11","11"
"部發言人宣布","11","11"
"價格同比上漲","11","4"
"在人民大會堂","11","10"
"布的數據顯示","11","11"
"韩国总统李在","11","11"
"国总统李在明","11","11"
"衛星發射升空","11","11"
"發射任務取得","11","11"
"任務取得圓滿","11","11"
"務取得圓滿成","11","11"
