"7gram","Frequency","Total Tweets"
"美国总统特朗普","48","48"
"中國外交部發言","14","14"
"國外交部發言人","14","14"
"自由式滑雪女子","13","11"
"國家主席習近平","13","13"
"十四屆全國人大","11","10"
"四屆全國人大四","11","10"
"屆全國人大四次","11","10"
"全國人大四次會","11","10"
"國人大四次會議","11","10"
"中國國家主席習","11","11"
"國國家主席習近","11","11"
"美國總統特朗普","11","10"
"中共中央總書記","10","10"
"伯克希尔哈撒韦","10","10"
"烏拉圭總統奧爾","9","7"
"拉圭總統奧爾西","9","7"
"中央軍委主席習","9","9"
"央軍委主席習近","9","9"
"軍委主席習近平","9","9"
"科爾蒂納冬奧會","8","8"
"例行新聞發布會","8","8"
"韩国总统李在明","8","8"
"冬奧會自由式滑","8","8"
"奧會自由式滑雪","8","8"
"會自由式滑雪女","8","8"
"日本首相高市早","7","7"
"本首相高市早苗","7","7"
"在例行記者會上","7","7"
"韓國總統李在明","7","7"
"哈尔滨冰雪大世","7","4"
"尔滨冰雪大世界","7","4"
"中共中央政治局","6","6"
"共中央政治局委","6","6"
"中央政治局委員","6","6"
"以色列對伊朗發","6","6"
"色列對伊朗發動","6","6"
"日在例行記者會","6","6"
"常驻联合国代表","6","6"
"首席执行官黄仁","6","6"
"席执行官黄仁勋","6","6"
"外交部發言人毛","6","6"
"交部發言人毛寧","6","6"
"美国对委内瑞拉","6","6"
"中國常駐聯合國","6","6"
"公布的數據顯示","6","6"
"舉行例行新聞發","6","6"
"行例行新聞發布","6","6"
"委内瑞拉总统马","6","6"
"内瑞拉总统马杜","6","6"
"瑞拉总统马杜罗","6","6"
"外交部長王毅在","5","5"
"對伊朗發動軍事","5","5"
"聯合國秘書長古","5","5"
"合國秘書長古特","5","5"
"國秘書長古特雷","5","5"
"秘書長古特雷斯","5","5"
"中国常驻联合国","5","5"
"国常驻联合国代","5","5"
"中国国家主席习","5","5"
"国国家主席习近","5","5"
"国家主席习近平","5","5"
"英伟达首席执行","5","5"
"伟达首席执行官","5","5"
"达首席执行官黄","5","5"
"接受三里河專訪","5","5"
"受三里河專訪時","5","5"
"三里河專訪時表","5","5"
"里河專訪時表示","5","5"
"非物质文化遗产","5","5"
"哈爾濱冰雪大世","5","3"
"爾濱冰雪大世界","5","3"
"美国联邦储备局","5","5"
"巴拿马最高法院","5","5"
"卫星顺利进入预","5","5"
"星顺利进入预定","5","5"
"顺利进入预定轨","5","5"
