"1gram","Frequency","Total Tweets"
"的","12977","6026"
"中","7030","3898"
"國","5110","2100"
"一","5033","3468"
"在","4981","3647"
"日","4562","3183"
"国","4144","2182"
"年","4027","2501"
"人","3940","2562"
"美","3731","2240"
"大","3602","2618"
"是","3104","2182"
"上","2840","2185"
"月","2712","2136"
"新","2626","1924"
"了","2449","1848"
"不","2271","1753"
"出","2253","1807"
"成","2202","1745"
"能","2061","1519"
"和","2059","1664"
"有","2054","1649"
"行","2036","1561"
"全","1966","1528"
"家","1955","1549"
"高","1953","1477"
"南","1918","1523"
"市","1852","1364"
"地","1823","1409"
"海","1739","1011"
"以","1720","1456"
"下","1660","1385"
"金","1635","895"
"商","1586","1362"
"本","1561","1103"
"生","1538","1158"
"最","1523","1284"
"期","1517","1260"
"公","1513","1147"
"到","1503","1285"
"这","1501","1290"
"元","1482","935"
"来","1448","1203"
"發","1419","950"
"为","1391","1148"
"近","1386","1211"
"工","1385","1002"
"天","1370","1039"
"前","1289","1128"
"部","1277","957"
"自","1267","1057"
"用","1266","982"
"报","1260","1168"
"多","1258","1078"
"正","1256","1111"
"民","1252","917"
"同","1242","968"
"特","1193","911"
"力","1190","1000"
"外","1178","893"
"台","1174","701"
"主","1163","959"
"方","1159","910"
"发","1151","924"
"表","1150","975"
"會","1105","650"
"加","1089","883"
"朗","1087","679"
"為","1074","852"
"文","1071","731"
"个","1069","862"
"可","1065","927"
"次","1065","842"
"入","1061","900"
"重","1059","874"
"作","1055","885"
"通","1047","797"
"化","1044","823"
"对","1034","861"
"交","1033","785"
"至","1030","871"
"动","1029","856"
"洋","1016","960"
"分","1012","872"
"面","1011","870"
"度","1008","839"
"來","992","828"
"西","991","647"
"合","991","817"
"事","989","816"
"与","984","835"
"价","979","686"
"首","978","790"
"平","966","760"
"要","961","832"
"已","952","869"
"心","941","807"
"之","935","826"
"山","933","551"
"北","931","694"
"增","929","641"
"長","927","629"
"股","919","540"
"场","918","751"
"量","912","674"
"示","899","829"
"比","890","663"
"布","887","790"
"长","885","685"
"时","882","753"
"安","869","668"
"伊","865","469"
"开","855","744"
"将","854","743"
"口","851","604"
"三","850","683"
"业","849","631"
"会","843","657"
"動","841","627"
"也","840","775"
"政","840","644"
"道","836","704"
"水","836","567"
"代","832","665"
"春","830","508"
"等","829","759"
"球","827","647"
"于","827","731"
"小","820","634"
"者","817","712"
"第","814","670"
"展","808","674"
"斯","802","546"
"科","801","589"
"技","801","641"
"機","799","461"
"现","793","688"
"時","787","647"
"利","787","634"
"與","786","638"
"持","785","695"
"其","783","722"
"马","779","460"
"司","777","620"
"里","771","651"
"將","763","583"
"超","762","610"
"就","759","674"
"相","758","688"
"数","757","587"
"资","754","552"
"定","750","652"
"机","748","541"
"理","747","603"
"電","745","328"
"得","743","651"
"開","741","583"
"對","737","540"
"法","732","519"
"業","730","475"
"子","729","571"
"普","723","575"
"格","715","555"
"油","711","396"
"关","708","576"
"型","705","531"
"后","703","619"
"源","701","573"
"果","700","536"
"都","700","609"
"如","700","613"
"受","699","659"
"及","699","625"
"星","696","445"
"進","696","564"
"收","696","539"
"被","692","615"
"式","692","602"
"向","691","595"
"过","689","608"
"起","686","636"
"建","681","502"
"品","679","523"
"場","677","542"
"明","676","568"
"投","673","538"
"今","672","636"
"模","671","516"
"物","667","464"
"我","664","487"
"他","664","528"
"而","661","614"
"客","660","464"
"提","658","596"
"升","657","578"
"目","656","572"
"空","652","480"
"手","651","548"
"位","647","586"
"花","646","394"
"看","641","563"
"拉","639","464"
"體","638","457"
"指","634","501"
"好","633","562"
"智","631","451"
"着","630","572"
"江","628","371"
"路","628","422"
"京","628","439"
"航","627","322"
"接","626","563"
"原","620","497"
"产","619","494"
"黄","618","435"
"更","614","517"
"意","611","548"
"片","610","466"
"进","609","547"
"消","608","494"
"這","607","523"
"名","604","512"
"制","601","514"
"企","593","427"
"流","590","469"
"關","586","441"
"周","585","499"
"光","585","427"
"回","577","502"
"界","576","476"
"推","575","534"
"總","575","426"
"体","571","487"
"此","567","536"
"區","564","397"
"基","561","478"
"車","560","264"
"然","556","499"
"個","556","445"
"但","552","537"
"造","551","479"
"現","550","459"
"世","550","437"
"局","548","473"
"经","546","475"
"共","543","439"
"学","543","315"
"程","542","446"
"萬","541","338"
"州","538","387"
"十","537","423"
"亿","533","332"
"於","529","459"
"四","523","425"
"性","523","466"
"情","520","469"
"河","518","342"
"友","516","451"
"港","511","249"
"活","511","435"
"去","510","459"
"达","509","427"
"達","506","389"
"火","505","385"
"運","505","312"
"打","502","440"
"内","500","441"
"東","497","328"
"間","494","444"
"保","494","400"
"景","492","411"
"半","492","376"
"息","490","438"
"二","487","391"
"英","486","358"
"香","486","314"
"实","480","422"
"引","478","453"
"求","477","419"
"系","476","385"
"并","473","442"
"易","472","371"
"管","468","383"
"跌","468","316"
"色","467","372"
"电","466","350"
"完","466","398"
"器","463","320"
"间","463","426"
"內","463","361"
"万","462","341"
"省","461","399"
"你","461","374"
"统","460","401"
"統","460","351"
"古","459","308"
"雪","459","250"
"涨","455","323"
"米","454","319"
"福","452","305"
"清","451","347"
"華","450","300"
"节","449","327"
"供","448","383"
"华","447","348"
"再","446","420"
"影","445","370"
"克","444","333"
"直","441","392"
"走","441","390"
"據","439","388"
"城","439","299"
"存","439","329"
"续","438","399"
"席","436","369"
"计","436","393"
"需","436","391"
"列","435","318"
"產","434","298"
"實","434","365"
"放","433","378"
"所","433","401"
"值","433","350"
"境","432","312"
"億","431","261"
"任","431","332"
"速","431","354"
"言","431","382"
"们","430","360"
"過","429","379"
"从","426","399"
"步","426","392"
"总","425","370"
"集","424","351"
"巴","421","255"
"率","420","335"
"身","419","386"
"尔","418","327"
"使","417","367"
"後","417","363"
"因","416","384"
"说","415","381"
"应","414","352"
"數","413","304"
"域","410","352"
"东","410","345"
"头","410","358"
"由","409","391"
"信","408","339"
"突","407","362"
"五","406","312"
"未","405","376"
"院","404","303"
"每","400","368"
"經","399","321"
"网","398","350"
"價","396","220"
"當","395","351"
"立","395","333"
"越","395","274"
"两","394","344"
"兩","394","288"
"破","391","342"
"感","391","351"
"務","391","276"
"史","390","346"
"士","390","322"
"车","390","214"
"馬","388","216"
"記","388","291"
"常","387","340"
"当","387","360"
"季","387","305"
"味","386","301"
"深","384","328"
"创","384","344"
"区","383","320"
"幅","383","338"
"青","383","262"
"老","383","284"
"千","382","295"
"資","382","255"
"白","381","307"
"計","381","309"
"府","381","324"
"治","379","332"
"预","377","312"
"约","376","318"
"研","375","279"
"員","375","287"
"節","374","268"
"太","371","298"
"据","366","324"
"解","364","334"
"件","364","302"
"各","364","324"
"學","363","236"
"洲","363","256"
"员","362","303"
"低","362","322"
"委","360","241"
"遊","359","207"
"支","359","311"
"功","358","279"
"旅","358","231"
"售","358","283"
"迎","357","330"
"还","357","324"
"务","357","304"
"运","355","273"
"点","355","333"
"真","355","305"
"阿","352","249"
"聯","350","260"
"快","350","321"
"反","349","313"
"降","347","278"
"强","347","315"
"取","345","312"
"始","345","328"
"非","345","299"
"站","343","215"
"施","341","294"
"亚","341","275"
"风","340","294"
"際","340","259"
"設","339","260"
"藏","338","210"
"战","337","277"
"吃","333","252"
"少","331","294"
"演","331","265"
"問","331","250"
"夏","328","228"
"只","326","302"
"告","325","294"
"何","323","283"
"鐵","323","132"
"續","322","279"
"包","321","284"
"舉","320","271"
"份","319","271"
"些","317","289"
"导","313","279"
"從","313","270"
"把","312","279"
"網","312","247"
"神","312","254"
"應","312","262"
"联","311","272"
"称","311","293"
"爾","311","202"
"先","310","267"
"游","309","227"
"社","308","266"
"土","308","229"
"廣","307","193"
"林","307","230"
"報","307","256"
"气","305","238"
"警","305","236"
"往","305","244"
"整","303","280"
"无","302","260"
"做","300","267"
"點","300","245"
"满","298","236"
"德","298","223"
"湖","296","187"
"訪","296","214"
"導","295","220"
"故","294","268"
"致","293","277"
"单","292","261"
"田","289","155"
"融","288","250"
"核","288","220"
"很","287","242"
"问","286","240"
"具","286","262"
"落","286","262"
"食","285","227"
"線","285","181"
"级","284","258"
"風","282","221"
"船","282","157"
"軍","282","193"
"俄","282","143"
"势","281","251"
"望","281","264"
"调","280","248"
"號","278","169"
"創","277","220"
"菲","276","178"
"初","276","245"
"种","275","230"
"设","275","234"
"波","275","252"
"际","274","257"
"让","274","259"
"传","273","237"
"料","272","224"
"石","271","189"
"約","270","221"
"么","269","225"
"央","268","195"
"或","268","243"
"巨","267","240"
"官","266","251"
"底","266","236"
"又","266","235"
"岸","266","175"
"没","265","239"
"百","265","218"
"象","264","220"
"团","264","225"
"族","263","188"
"裝","263","162"
"博","263","206"
"储","262","196"
"想","262","231"
"強","261","221"
"習","260","149"
"亞","260","177"
"变","259","234"
"汽","259","164"
"形","258","225"
"视","257","215"
"黑","256","183"
"湾","256","179"
"芯","256","191"
"显","255","237"
"军","255","176"
"服","255","216"
"争","255","233"
"冰","254","133"
"預","252","203"
"群","252","209"
"女","252","194"
"戰","252","171"
