"2gram","Frequency","Total Tweets"
"中國","1508","947"
"中国","1245","898"
"南洋","834","811"
"美国","819","589"
"商报","810","807"
"洋商","809","806"
"伊朗","613","369"
"美國","517","318"
"公司","473","379"
"日本","462","255"
"美元","449","333"
"表示","432","411"
"全球","418","364"
"特朗","374","299"
"朗普","373","298"
"市场","352","305"
"黄金","320","221"
"北京","312","258"
"世界","300","247"
"國家","299","245"
"近日","290","289"
"智能","280","222"
"科技","275","237"
"政府","272","239"
"可能","264","251"
"主席","259","215"
"人民","252","214"
"文化","252","195"
"投资","238","207"
"近平","234","161"
"国家","228","206"
"外交","217","161"
"人工","216","186"
"星期","210","201"
"今年","210","204"
"安全","207","174"
"金价","203","147"
"工智","202","173"
"出口","201","132"
"一个","200","183"
"總統","200","148"
"國際","192","146"
"正在","191","182"
"台湾","190","130"
"价格","187","158"
"器人","182","118"
"总统","179","164"
"企業","176","118"
"经济","174","143"
"代表","173","150"
"网友","172","162"
"在中","171","158"
"交部","170","135"
"工作","169","132"
"習近","168","107"
"中心","165","143"
"苹果","165","120"
"成为","165","160"
"第一","164","149"
"交易","161","127"
"亿美","161","130"
"舉行","160","140"
"最大","157","150"
"國國","157","135"
"上涨","156","123"
"全國","155","113"
"成功","153","118"
"持续","152","147"
"中央","152","111"
"首次","150","137"
"的一","149","147"
"英伟","147","114"
"伟达","147","114"
"企业","147","124"
"合作","145","128"
"同比","144","104"
"新春","144","109"
"市場","143","117"
"能源","142","110"
"新年","142","107"
"增長","140","96"
"芯片","140","103"
"香港","140","80"
"的中","140","131"
"日在","138","138"
"春節","138","99"
"台灣","137","86"
"宣布","135","131"
"年的","134","129"
"以及","134","134"
"菲律","134","87"
"以来","133","127"
"重要","133","126"
"国际","133","122"
"下跌","133","105"
"数据","132","115"
"需求","131","125"
"最高","131","120"
"是中","131","114"
"國人","131","97"
"指出","130","130"
"目前","129","126"
"增长","129","103"
"正式","129","123"
"中东","129","112"
"故事","128","125"
"部分","128","123"
"時間","127","120"
"消息","125","120"
"言人","125","119"
"家主","124","121"
"發展","124","101"
"政治","123","113"
"中美","123","88"
"進行","122","112"
"发布","120","111"
"问题","118","109"
"去年","117","111"
"使用","117","110"
"自己","116","99"
"記者","115","93"
"国总","115","110"
"在北","115","111"
"可以","114","99"
"包括","114","113"
"發布","114","106"
"一年","114","106"
"机器","114","76"
"新高","113","100"
"發言","113","106"
"一起","112","110"
"关税","112","79"
"當地","111","107"
"價格","111","67"
"新加","111","90"
"加坡","111","90"
"马年","111","89"
"了一","110","109"
"研究","109","90"
"瑞拉","109","70"
"成本","108","93"
"政策","108","104"
"的新","108","104"
"资者","108","106"
"技术","108","98"
"计划","108","103"
"生活","108","97"
"歷史","107","98"
"以色","107","85"
"色列","107","85"
"成為","106","98"
"的最","106","106"
"影响","105","100"
"大的","105","103"
"消费","105","83"
"模型","105","79"
"分析","105","100"
"股市","105","85"
"律宾","105","68"
"完成","104","92"
"国国","104","101"
"新疆","104","74"
"中的","104","97"
"油价","103","74"
"是一","103","99"
"上海","102","79"
"石油","102","69"
"俄羅","100","66"
"黄仁","100","77"
"仁勋","100","77"
"國故","100","100"
"聯合","100","71"
"羅斯","99","66"
"其中","99","99"
"吸引","99","96"
"來源","99","99"
"就是","98","94"
"统特","97","97"
"經濟","97","80"
"主要","97","96"
"國總","97","85"
"第二","96","84"
"贸易","96","77"
"进行","96","95"
"網友","95","87"
"和平","95","81"
"超过","95","94"
"突破","95","87"
"人的","95","93"
"这是","94","92"
"出现","94","91"
"活動","94","74"
"公布","93","91"
"韩国","93","68"
"城市","93","73"
"數據","93","80"
"遊客","93","74"
"一步","92","91"
"希望","92","91"
"的人","92","88"
"地区","92","87"
"共同","92","84"
"接受","92","90"
"訪問","92","78"
"新的","92","89"
"国的","91","88"
"不是","91","84"
"人士","91","85"
"制造","91","86"
"我们","91","77"
"海峽","91","62"
"通过","90","88"
"这一","90","90"
"春节","90","75"
"最新","89","87"
"巨头","89","85"
"之一","89","88"
"供应","89","79"
"日元","88","45"
"上的","88","85"
"持續","88","85"
"未来","88","84"
"活动","88","81"
"相關","88","79"
"传统","88","79"
"执行","88","80"
"规模","88","84"
"馬年","88","59"
"原油","87","60"
"如何","87","77"
"在美","87","83"
"人次","87","52"
"近期","86","83"
"年来","86","86"
"方面","86","80"
"關係","86","72"
"晶片","86","62"
"機器","86","54"
"显示","85","83"
"来的","85","84"
"冰雪","85","47"
"中共","84","68"
"新聞","84","77"
"国人","84","74"
"如果","83","81"
"書記","83","54"
"指数","83","71"
"相关","83","81"
"引发","83","83"
"这个","83","82"
"风险","83","76"
"历史","82","78"
"一次","82","75"
"地區","82","75"
"假期","82","66"
"海峡","81","69"
"行的","81","79"
"战争","81","72"
"造成","80","79"
"预计","80","74"
"推出","80","77"
"的大","80","76"
"國的","80","70"
"比增","80","60"
"的是","80","73"
"个月","79","78"
"他们","79","68"
"产品","79","72"
"航天","79","42"
"发展","79","72"
"的美","79","74"
"半導","79","47"
"導體","79","47"
"地時","79","76"
"品牌","78","61"
"提供","78","76"
"认为","78","75"
"大幅","78","78"
"大陆","78","53"
"时间","78","76"
"一個","78","69"
"随着","77","77"
"汽車","77","46"
"没有","77","70"
"今天","77","76"
"一场","77","74"
"席習","76","76"
"担忧","76","75"
"开始","76","71"
"关键","76","75"
"游客","76","69"
"推动","76","73"
"平台","76","69"
"行动","76","71"
"年春","76","68"
"大家","76","69"
"祝福","76","62"
"千年","75","63"
"增加","75","70"
"媒體","75","61"
"中方","75","57"
"以來","74","72"
"其他","74","70"
"再次","74","71"
"管理","74","65"
"作为","74","72"
"汽车","74","52"
"現場","74","71"
"联合","74","66"
"核心","74","69"
"欧洲","74","55"
"集团","73","62"
"航空","73","55"
"股价","73","70"
"这些","73","71"
"感受","73","72"
"稀土","73","36"
"這是","72","72"
"此前","72","71"
"系统","72","61"
"交流","72","59"
"媒体","72","68"
"收入","71","59"
"更多","71","69"
"的情","71","66"
"预期","71","66"
"冲突","71","69"
"此次","71","70"
"大使","71","62"
"白银","71","61"
"继续","71","67"
"领域","71","71"
"顯示","71","65"
"导致","71","70"
"茲海","70","47"
"格陵","70","40"
"總書","69","45"
"商品","69","63"
"金融","69","62"
"斯坦","69","50"
"國外","69","62"
"生产","69","65"
"布的","69","68"
"资产","68","58"
"长期","68","67"
"元的","68","64"
"自然","68","61"
"支持","68","64"
"什么","68","65"
"关系","68","63"
"軍事","68","58"
"旅遊","68","45"
"下降","67","54"
"朋友","67","61"
"需要","67","59"
"如今","67","67"
"霍尔","67","58"
"日發","67","66"
"视频","67","60"
"表演","67","59"
"會議","67","47"
"合國","67","45"
"中東","66","53"
"對中","66","62"
"人員","66","52"
"来自","66","64"
"里的","66","62"
"习近","66","54"
"青年","66","49"
"技術","66","53"
"竞争","66","64"
"消費","66","46"
"能力","66","64"
"上漲","66","48"
"旅客","66","37"
"問題","65","52"
"提升","65","63"
"兩岸","65","42"
"金属","65","52"
"令吉","65","47"
"尔木","65","57"
"木兹","65","57"
"來自","65","62"
"举行","65","63"
"日至","65","65"
"海外","65","54"
"工程","64","52"
"无人","64","46"
"兹海","64","57"
"迎来","64","62"
"福建","64","52"
"上午","63","62"
"發表","63","58"
"系列","63","58"
"业务","63","55"
"也是","63","63"
"每一","63","57"
"一度","63","61"
"萌娃","63","54"
"開始","63","60"
"美方","63","47"
"投資","63","48"
"服务","63","55"
"影響","62","56"
"共中","62","53"
"压力","62","62"
"委員","62","55"
"取得","62","58"
"作為","62","60"
"部長","62","49"
"的国","62","58"
"部长","62","55"
"神奇","62","61"
"亚洲","62","53"
"股票","62","50"
"本地","62","58"
"全面","62","59"
"通過","62","55"
"供應","62","47"
"里河","62","57"
"年味","62","50"
"河南","61","46"
"報道","61","58"
"印度","61","47"
"大會","61","55"
"面临","61","61"
"来最","61","60"
"协议","61","58"
"官方","61","60"
"一些","61","57"
"普京","61","43"
"領域","61","56"
"国民","61","42"
"旅游","61","44"
"三里","61","56"
"年以","60","59"
"果公","60","52"
"一名","60","55"
"集團","60","48"
"一直","60","60"
"进入","60","56"
"保持","60","57"
"一家","60","55"
"基础","59","57"
"发生","59","53"
"报道","59","57"
"大陸","59","43"
"新元","59","57"
"当地","59","57"
"的第","59","56"
"貿易","59","43"
"認為","58","55"
"鐵路","58","28"
"到了","58","57"
"直接","58","56"
"大學","58","50"
"首席","58","57"
"民族","58","53"
"出的","58","56"
"的生","58","56"
"統特","58","54"
"會上","58","56"
"自治","58","51"
"要求","58","54"
"由于","57","57"
"截至","57","56"
"任何","57","53"
"过去","57","57"
"部發","57","57"
"孩子","57","52"
"打造","57","57"
"不同","57","55"
"一口","57","52"
"訪華","57","51"
"委內","57","33"
"內瑞","57","33"
"新一","56","53"
"王毅","56","40"
"而是","56","56"
"各地","56","54"
"飙升","56","55"
"這一","56","54"
"起来","56","53"
"行動","56","48"
"日報","56","55"
"受到","56","56"
"清明","56","36"
"兩會","56","36"
"入境","55","37"
"日上","55","54"
"谈判","55","43"
"国政","55","54"
"二十","55","44"
"發射","55","21"
"措施","55","53"
"年中","55","53"
"有一","55","53"
"下的","55","52"
"國務","55","43"
"不少","55","54"
"都是","55","54"
"義烏","55","23"
"外國","54","37"
"罗斯","54","38"
"记者","54","51"
"速度","54","50"
"國內","54","46"
"黃金","54","32"
"提出","54","53"
"西亚","54","50"
"創新","54","40"
"期間","54","52"
"进口","54","48"
"我們","54","49"
"创下","53","51"
"警告","53","51"
"大型","53","50"
"年前","53","51"
"的重","53","51"
"的小","53","49"
"傳統","53","46"
"保护","53","42"
"元宵","53","31"
"上升","52","47"
"組織","52","42"
"的地","52","49"
"已经","52","52"
"透露","52","52"
"委内","52","37"
"内瑞","52","37"
"银行","52","46"
"俄罗","52","37"
"看到","52","49"
"水平","52","52"
"信息","52","47"
"目的","52","50"
"日晚","52","52"
"男子","52","43"
"爾木","52","33"
"国和","52","52"
"健康","52","47"
