"6gram","Frequency","Total Tweets"
"知情人士透露","71","71"
"中国国家主席","67","67"
"国家主席习近","66","66"
"家主席习近平","66","66"
"国国家主席习","65","65"
"创办人郭台铭","55","55"
"党总统参选人","44","40"
"总统小马可斯","43","43"
"菲律宾总统小","42","42"
"律宾总统小马","42","42"
"宾总统小马可","41","41"
"俄罗斯总统普","40","40"
"罗斯总统普京","36","36"
"福岛第一核电","35","34"
"鸿海创办人郭","35","35"
"海创办人郭台","35","35"
"美国总统拜登","31","31"
"岛第一核电站","28","27"
"加密货币交易","27","27"
"据知情人士透","27","27"
"参选人侯友宜","24","24"
"加利福尼亚州","24","24"
"电动汽车制造","24","23"
"伯克希尔哈撒","23","21"
"克希尔哈撒韦","23","21"
"总统参选人侯","22","22"
"统参选人侯友","22","22"
"来的最高水平","22","22"
"前总统马英九","22","22"
"亚洲周刊专区","21","21"
"国民党总统参","21","21"
"民党总统参选","21","21"
"参选人柯文哲","21","21"
"美国加利福尼","21","21"
"国加利福尼亚","21","21"
"密货币交易所","21","21"
"鸿海集团创办","21","21"
"海集团创办人","21","21"
"动汽车制造商","21","20"
"核处理水排海","21","20"
"来的最低水平","20","20"
"台湾前总统马","20","20"
"湾前总统马英","20","20"
"集团创办人郭","20","20"
"团创办人郭台","20","20"
"党总统候选人","19","18"
"中国电动汽车","19","15"
"东京电力公司","18","17"
"首相岸田文雄","18","18"
"总统参选人柯","18","18"
"统参选人柯文","18","18"
"美联储主席鲍","18","18"
"联储主席鲍威","18","18"
"储主席鲍威尔","18","18"
"财政部长耶伦","17","17"
"日本经济新闻","17","17"
"国际原子能机","17","17"
"际原子能机构","17","17"
"硅谷银行倒闭","17","17"
"世界卫生组织","16","16"
"外交部发言人","16","16"
"美国财政部长","16","16"
"民众党总统参","16","16"
"众党总统参选","16","16"
"福岛核处理水","16","15"
"半导体制造设","16","15"
"导体制造设备","16","15"
"美国联邦储备","15","15"
"前总统特朗普","15","15"
"社交媒体平台","15","15"
"布的数据显示","15","15"
"国财政部长耶","15","15"
"希尔哈撒韦公","15","15"
"尔哈撒韦公司","15","15"
"纳斯达克综合","15","14"
"斯达克综合指","15","14"
"达克综合指数","15","14"
"台湾总统选举","14","14"
"人工智能公司","14","14"
"中国经济复苏","14","14"
"以来的最高水","14","14"
"大型科技公司","14","14"
"日本首相岸田","14","14"
"本首相岸田文","14","14"
"与中国国家主","14","14"
"美国监管机构","13","13"
"的加密货币交","13","13"
"核电站处理水","13","13"
"阿里巴巴集团","13","12"
"日经平均指数","13","10"
"国联邦储备局","12","12"
"股份有限公司","12","9"
"电动汽车电池","12","10"
"中国外交部发","12","12"
"第二大经济体","12","12"
"美国证券交易","12","12"
"参选人赖清德","12","12"
"第一核电站处","12","12"
"一核电站处理","12","12"
"岛核处理水排","12","11"
"美国媒体报道","12","12"
"今年晚些时候","12","12"
"中国人民银行","11","11"
"创下历史新高","11","11"
"中国科技公司","11","11"
"消息人士透露","11","11"
"国外交部发言","11","11"
"公布的数据显","11","11"
"片制造商英伟","11","11"
"制造商英伟达","11","11"
"主席习近平会","11","11"
"电站处理水排","11","11"
