"9gram","Frequency","Total Tweets"
"中国国家主席习近平","65","65"
"菲律宾总统小马可斯","41","41"
"鸿海集团创办人郭台","20","20"
"海集团创办人郭台铭","20","20"
"国民党总统参选人侯","18","18"
"民党总统参选人侯友","18","18"
"党总统参选人侯友宜","18","18"
"民众党总统参选人柯","16","16"
"众党总统参选人柯文","16","16"
"党总统参选人柯文哲","16","16"
"伯克希尔哈撒韦公司","15","15"
"与中国国家主席习近","14","14"
"福岛第一核电站处理","12","12"
"岛第一核电站处理水","12","12"
"国国家主席习近平会","11","11"
"第一核电站处理水排","10","10"
"加密货币交易所币安","10","10"
"国国家主席习近平在","10","10"
"美国证券交易委员会","10","10"
"的鸿海创办人郭台铭","9","9"
"中国电动汽车制造商","9","8"
"最大的加密货币交易","9","9"
"国国家主席习近平星","9","9"
"国家主席习近平星期","9","9"
"律宾总统小马可斯说","9","9"
"以色列总理内坦亚胡","9","9"
"大的加密货币交易所","8","8"
"中国短视频平台抖音","8","8"
"人工智能聊天机器人","8","8"
"民进党总统参选人赖","7","7"
"进党总统参选人赖清","7","7"
"党总统参选人赖清德","7","7"
"全球最大的加密货币","7","7"
"球最大的加密货币交","7","7"
"台湾鸿海创办人郭台","7","7"
"湾鸿海创办人郭台铭","7","7"
"鸿海创办人郭台铭星","7","7"
"海创办人郭台铭星期","7","7"
"美国联邦贸易委员会","7","7"
"国家主席习近平会面","7","7"
"美国国家航空航天局","7","7"
"台湾前总统马英九星","7","7"
"湾前总统马英九星期","7","7"
"国民党总统候选人侯","7","7"
"民党总统候选人侯友","7","7"
"党总统候选人侯友宜","7","7"
"巴勒斯坦伊斯兰抵抗","7","7"
"勒斯坦伊斯兰抵抗运","7","7"
"斯坦伊斯兰抵抗运动","7","7"
"巴勒斯坦激进组织哈","7","7"
"勒斯坦激进组织哈马","7","7"
"斯坦激进组织哈马斯","7","7"
"俄罗斯雇佣兵组织瓦","6","6"
"罗斯雇佣兵组织瓦格","6","6"
"斯雇佣兵组织瓦格纳","6","6"
"这家电动汽车制造商","6","6"
"律宾总统小马可斯星","6","6"
"宾总统小马可斯星期","6","6"
"的伯克希尔哈撒韦公","6","6"
"电池制造商宁德时代","6","6"
"国国家主席习近平与","6","6"
"阿里巴巴创始人马云","6","6"
"盟委员会主席冯德莱","6","6"
"委员会主席冯德莱恩","6","6"
"副总理兼财政部长黄","6","6"
"总理兼财政部长黄循","6","6"
"理兼财政部长黄循财","6","6"
"这个世界第二大经济","5","5"
"个世界第二大经济体","5","5"
"具名消息人士的话报","5","5"
"名消息人士的话报道","5","5"
"一核电站处理水排海","5","5"
"的加密货币交易所币","5","5"
"台湾鸿海集团创办人","5","5"
"湾鸿海集团创办人郭","5","5"
"美国太空探索技术公","5","5"
"国太空探索技术公司","5","5"
"东京电力福岛第一核","5","5"
"京电力福岛第一核电","5","5"
"电力福岛第一核电站","5","5"
"从日本进口的水产品","5","4"
"的海上集装箱运输量","5","5"
"中国驻菲律宾大使黄","5","5"
"国驻菲律宾大使黄溪","5","5"
"驻菲律宾大使黄溪连","5","5"
"国短视频平台抖音的","5","5"
"短视频平台抖音的海","5","5"
"视频平台抖音的海外","5","5"
"频平台抖音的海外版","5","5"
"俄罗斯外交部长拉夫","5","5"
"罗斯外交部长拉夫罗","5","5"
"斯外交部长拉夫罗夫","5","5"
"特斯拉创办人马斯克","5","5"
"欧盟委员会主席冯德","5","5"
