字,frequency,total_tweets
很,1754,1607
财,1752,1396
幅,1750,1506
款,1747,1413
控,1739,1544
专,1734,1566
众,1733,1545
级,1730,1516
防,1723,1457
律,1712,1235
常,1699,1529
洋,1694,1555
非,1694,1500
火,1687,1222
单,1684,1416
油,1680,963
智,1677,1419
尼,1676,1227
料,1673,1292
许,1672,1573
列,1672,1417
节,1664,1317
转,1660,1489
港,1659,1011
票,1653,1212
历,1652,1516
获,1651,1535
路,1648,1348
测,1639,1342
停,1635,1383
几,1625,1541
阿,1605,1220
韩,1604,1030
限,1602,1410
巨,1601,1525
究,1599,1375
食,1599,1149
构,1597,1452
么,1595,1370
望,1594,1504
直,1593,1510
确,1588,1475
色,1581,1242
论,1577,1418
存,1571,1332
警,1564,1325
器,1561,1115
采,1546,1412
营,1545,1312
热,1540,1351
域,1540,1377
院,1538,1230
快,1537,1416
难,1532,1404
仍,1529,1456
担,1521,1430
观,1520,1344
米,1510,1016
席,1509,1330
险,1507,1341
走,1507,1384
随,1503,1475
例,1501,1132
助,1498,1367
飞,1491,1022
户,1490,1250
税,1488,971
每,1485,1338
治,1477,1288
田,1476,926
止,1466,1338
给,1463,1382
改,1458,1317
权,1450,1237
服,1444,1199
陆,1441,1141
银,1434,1021
象,1433,1284
你,1430,1090
案,1427,1204
做,1423,1288
临,1408,1333
积,1408,1091
太,1397,1150
协,1394,1195
样,1392,1300
密,1390,1131
访,1388,1185
城,1384,1076
党,1383,851
储,1381,1008
线,1380,1175
旅,1380,977
措,1378,1261
香,1368,929
况,1366,1303
失,1365,1234
队,1365,1103
离,1362,1205
排,1359,1060
证,1358,1193
房,1358,870
频,1350,1141
十,1348,1215
景,1346,1220
师,1343,1192
断,1339,1227
花,1337,877
即,1337,1304
注,1331,1263
继,1323,1288
紧,1318,1244
根,1317,1225
破,1315,1205
史,1314,1214
身,1312,1196
竞,1311,1167
宾,1308,895
想,1308,1184
严,1305,1232
女,1301,942
功,1288,1131
试,1283,1084
芯,1274,885
整,1271,1180
奥,1271,870
媒,1270,1158
参,1267,1124
光,1267,964
析,1257,1182
赛,1253,807
它,1250,1130
友,1248,1084
字,1247,927
软,1243,986
记,1242,1122
店,1235,840
态,1234,1128
乌,1234,911
波,1231,1037
卡,1229,975
广,1227,1054
言,1224,1102
岛,1218,906
则,1213,1155
装,1209,949
核,1208,841
短,1202,1031
裁,1202,940
买,1201,1007
除,1192,1136
深,1189,1048
贸,1188,943
零,1185,987
具,1184,1087
早,1183,1079
富,1181,925
类,1171,1012
仅,1164,1062
张,1163,1055
把,1162,1103
见,1160,1100
福,1160,934
胀,1157,915
往,1152,965
图,1151,986
别,1151,1069
批,1150,1057
突,1148,1076
希,1143,1059
否,1141,1065
威,1134,981
括,1134,1110
扩,1132,1066
吉,1128,905
黄,1124,823
效,1123,1011
极,1120,979
号,1117,917
六,1116,1047
办,1113,975
融,1111,892
盟,1110,832
算,1110,885
那,1110,1031
死,1107,926
完,1103,1039
纳,1102,954
清,1098,957
先,1095,1018
泰,1095,741
冲,1090,985
池,1088,600
执,1087,1020
底,1085,1014
毒,1084,790
维,1079,949
益,1078,977
卫,1078,884
压,1078,997
初,1077,1006
岁,1066,855
免,1064,939
监,1058,918
百,1058,934
登,1054,904
石,1046,778
老,1044,826
考,1040,916
护,1032,874
候,1031,911
谷,1029,791
落,1028,957
容,1027,916
什,1024,915
付,1023,875
牌,1022,818
土,1020,786
微,1018,828
足,1015,935
白,1014,816
禁,1008,834
露,1008,955
站,1005,832
形,1004,915
录,998,902
倍,997,859
丰,997,692
均,996,866
环,994,890
船,994,610
纪,992,902
乐,992,829
苏,989,861
话,988,883
教,987,745
声,986,876
缓,984,900
习,980,802
独,976,884
激,972,916
音,972,722
满,971,863
又,969,924
终,968,920
边,968,826
省,963,839
质,963,849
必,962,892
医,959,700
委,957,783
伟,955,715
春,954,659
农,954,716
索,952,734
退,952,825
双,951,807
缺,950,846
针,949,878
较,948,898
演,947,789
透,944,904
检,933,733
龙,931,685
染,930,708
危,928,830
遭,920,881
闻,917,863
红,913,726
亡,912,802
温,910,772
暴,906,788
沙,905,647
居,904,804
才,904,819
哈,900,686
己,900,811
验,896,779
抗,894,783
略,889,818
班,889,698
评,886,809
住,883,761
优,877,757
博,876,723
伊,875,608
依,873,817
条,873,795
弹,873,708
央,871,710
迎,870,823
尽,865,845
康,863,723
谈,858,745
药,856,520
链,855,761
润,854,637
远,853,749
债,851,558
且,850,838
请,849,741
启,848,801
曾,847,817
端,842,727
精,841,777
街,841,762
