traditional,simplified
,唇
,唠
,唢
,唤
,啖
,啧
,啬
,啰
,啸
,喂
,喷
,嗑
,嘘
,嘤
,嘱
,堃
,堑
,堕
,壳
,壶
,夹
,奎
,奚
,奸
,妊
,妍
,妒
,妓
,妖
,妗
,妨
,姗
,姝
,姣
,姪
,娄
,娅
,娆
,娇
,娓
,娠
,娣
,娩
,娱
,娴
,娶
,娼
,婀
,婞
,婧
,婪
,婴
,婵
,媚
,嫂
,嫉
,孚
,寰
,尕
,尘
,尧
,尬
,尴
,尸
,屉
,届
,屐
,屡
,岂
,岌
,岘
,峇
,峋
,峙
,峦
,巩
,巫
,巽
,帼
,彦
,彻
,徕
,忱
,忾
,怂
,怜
,怠
,怦
,恃
,恙
,恣
,恬
,恵
,恶
,恹
,悖
,悦
,悴
,愕
,愣
,抛
,抠
,护
,抨
,拄
,拌
,拗
,拙
,拮
,拯
,拴
,拷
,拽
,挂
,挚
,挛
,挝
,挞
,挟
,挠
,挣
,挥
,捂
,捅
,捆
,捋
,捎
,捞
,损
,捡
,换
,掬
,掮
,掰
,掳
,掴
,掷
,掸
,掺
,掼
,揉
,揖
,揪
,揺
,揽
,揾
,搀
,搁
,搅
,摄
,摇
,摈
,摊
,摒
,撅
,撇
,撑
,撕
,撮
,撰
,擀
,擘
,攒
,攫
,攸
,敛
,敝
,敷
,斓
,斟
,斡
,旷
,昕
,昙
,昵
,昶
,昼
,显
,晒
,晓
,晕
,晖
,晦
,暄
,暌
,暾
,朦
,杖
,杞
,杠
,杪
,杰
,杷
,枇
,枉
,枞
,枢
,枣
,枭
,枱
,枷
,枸
,柑
,柜
,柠
,柩
,栃
,栅
,栓
,栖
,栢
,栾
,桀
,桉
,桎
,档
,桧
,桨
,桩
,梏
,棨
,椋
,椐
,椪
,椭
,楠
,楯
,楷
,楸
,楽
,榄
,榈
,槛
,槟
,槿
,横
,橱
,橿
,檬
,歼
,殁
,殃
,殇
,残
,殒
,殓
,殡
,殴
,毂
,氾
,汙
,汞
,汹
,沌
,沐
,沛
,沟
,沪
,沮
,沱
,沾
,泌
,泓
,泞
,泮
,泯
,泸
,洁
,洒
,洩
,洹
,洼
,浅
,浆
,浇
,浊
,浣
,涎
,涕
,涛
,涝
,涟
,涠
,涡
,涤
,润
,涩
,涿
,淆
,淖
,淞
,淫
,淬
,淮
,渊
,渋
,渌
,渍
,渎
,渕
,渗
,渥
,温
,渭
,渺
,渼
,湾
,湿
,溃
,溉
,溥
,溧
,滁
,滂
,滚
,滝
,满
,滢
,滤
,滥
,滦
,滨
,滩
,漉
,漩
,漱
,潇
,潍
,潜
,潢
,潦
,潼
,澍
,澜
,濑
,濒
,灶
,灿
,炉
,炊
,炖
,炜
,炯
,炼
,炽
,烁
,烂
,烊
,烘
,烙
,烜
,烦
,烧
,烨
,烩
,烫
,烬
,焕
,焗
,焙
,熨
,爷
,牍
